pick,player_name,oreb,dreb,treb,ast,stl,blk,pts
,Brett Gifford,0.6333,2.6667,3.3,0.6,0.4,0.8333,2.0667
,Greg Washington,2.4062,3.6875,6.0938,0.75,0.625,2.8125,6.625
,Evan Neisler,1.7419,2.7419,4.4839,0.129,0.3871,0.4516,4.5806
,Otis Polk,3.3793,3.6897,7.069,0.8276,0.6552,1.2414,10.0345
,Marc Larson,2.1379,2.069,4.2069,0.5172,0.3103,0.6552,5.5862
52.0,Vernon Macklin,2.6765,2.8529,5.5294,0.7647,0.5882,0.8529,10.5588
,Sean Carter,3.3548,3.6774,7.0323,0.9032,0.5484,1.2903,4.8065
,Paul Campbell,2.1071,1.6071,3.7143,1.1429,0.3571,0.8929,4.6429
,Thomas Coleman,3.0,5.2667,8.2667,1.3333,0.8,2.0667,9.1
57.0,Ryan Reid,1.871,2.0968,3.9677,1.129,0.5806,0.5161,6.7742
27.0,JaJuan Johnson,2.3429,4.8,7.1429,0.7429,0.8571,2.0571,15.4857
,Tyrone Nash,2.2571,2.9714,5.2286,1.6857,0.6857,0.4571,7.7714
,Andrew Fleming,0.5714,0.9643,1.5357,0.0714,0.0,0.6429,1.3214
,Graeme Radford,0.8846,1.4615,2.3462,0.0769,0.0769,0.7692,1.2308
55.0,Jeremy Evans,2.9706,3.9412,6.9118,0.7353,0.8235,1.7941,10.0294
,Kenneth van Kempen,1.6944,4.8889,6.5833,0.7222,0.5556,0.6389,6.75
,Sam Singh,1.25,1.9286,3.1786,0.3929,0.25,0.3929,1.7143
,George Valentine,1.6667,3.1667,4.8333,0.6667,0.5,0.1667,4.0
,Andre Stephens,0.8095,1.0,1.8095,0.0,0.1905,0.0476,2.1429
,Randy Berry,3.2121,5.0303,8.2424,0.9394,0.3636,0.7576,7.6667
,Andrew Jones III,1.5161,3.5806,5.0968,0.3548,0.2258,0.3226,6.0323
,Patrick Sullivan,1.9259,6.3704,8.2963,1.9259,0.8148,3.3704,15.2593
,Mike Bardo,0.6786,0.7143,1.3929,0.1071,0.0357,0.3571,0.9286
,Bryan Davis,3.1515,5.0606,8.2121,1.5455,1.2424,1.7273,9.3939
,Clint Hopf,1.28,3.28,4.56,0.32,0.52,0.32,6.32
,Jabari Edwards,0.8276,1.5172,2.3448,0.1724,0.2759,0.8621,1.2414
,Joseph Katuka,1.6333,2.2333,3.8667,0.2,0.3667,0.5333,5.8667
,Dele Coker,0.7143,0.9643,1.6786,0.1071,0.3214,0.8571,1.6786
,Sean Evans,2.697,3.2121,5.9091,0.6364,0.5758,0.2727,6.6667
11.0,Cole Aldrich,3.0556,6.7778,9.8333,0.8611,0.75,3.4722,11.2778
,Phil Jones,1.7097,2.6129,4.3226,0.5484,0.2258,2.0968,5.3871
,Liam Potter,3.2759,5.0345,8.3103,0.8276,0.2759,2.0,9.5172
,Marko Spica,1.3571,1.9286,3.2857,0.5,0.2857,0.2857,7.1429
32.0,Dexter Pittman,2.9706,2.8824,5.8529,0.5,0.3529,1.8529,10.4412
,Will Foster,0.5714,0.8929,1.4643,0.2857,0.0714,0.75,1.9286
,James Porter,1.5667,3.9,5.4667,0.6,0.3333,1.3,4.1333
,Scott Grable,0.6818,1.6818,2.3636,0.5909,0.2727,0.0909,3.0909
,Kirill Pishchalnikov,1.2121,1.3636,2.5758,0.2121,0.2121,0.2424,2.3333
,Eric Boateng,2.3939,4.8485,7.2424,0.9091,0.5758,0.7879,8.8485
,Pat Nelson,1.1515,2.3636,3.5152,0.303,0.2424,0.5758,2.0606
,Dinma Odiakosa,3.697,4.9697,8.6667,1.0303,0.8182,0.7576,12.7576
,Terrell Williams,0.7273,1.3636,2.0909,0.6364,0.0,0.2727,2.1818
,Rick Jackson,2.6857,4.3429,7.0286,1.7143,1.0286,1.9714,9.7429
,Nkem Ojougboh,2.5152,4.697,7.2121,1.0606,0.7273,2.3333,9.2424
,Zack Crimmins,0.2381,0.9048,1.1429,0.2381,0.1429,0.2857,1.4762
50.0,Lavoy Allen,3.5429,7.1714,10.7143,2.3714,0.5429,1.4286,11.4857
,Gavin Edwards,2.5588,3.9412,6.5,0.7647,0.7647,2.0294,10.6176
,Rodney Stokes,1.1818,1.5152,2.697,0.303,0.3333,0.9697,3.0
,Jeremy Saffore,1.129,1.8387,2.9677,0.4516,0.3226,0.871,5.5161
,Tracy Smith,2.4,4.9143,7.3143,1.1429,1.1429,1.0,16.5143
,Mac Koshwal,3.8947,6.1579,10.0526,2.0,1.8421,0.8947,16.1053
,Stephen Sargent,1.0,2.6667,3.6667,0.0476,0.381,1.2857,2.2857
,Justin Glenn,0.56,1.04,1.6,0.16,0.32,0.28,1.04
,Josh Southern,1.0,2.1935,3.1935,0.8387,0.2903,0.3548,4.3871
,Cortney Dunn,0.3462,1.5385,1.8846,0.2308,0.0769,0.7308,0.8846
,Albert Jackson,1.5333,1.7333,3.2667,0.3333,0.2333,1.0667,3.2667
,Brandon Ford,0.2,0.35,0.55,0.0,0.1,0.05,0.5
,Bernard Toombs,1.4667,2.4333,3.9,0.3667,0.1667,0.9,3.0
,Philip Tabet,0.6,0.68,1.28,0.04,0.12,0.08,1.0
,Kyle Madsen,0.8108,1.027,1.8378,0.1622,0.3514,0.2432,2.5405
,Max Craig,1.4444,1.0,2.4444,0.0556,0.0556,0.0556,3.1111
,Trey Parker,1.3043,1.9565,3.2609,0.7391,0.3043,1.2609,2.3913
,Adam Constantine,2.5806,5.5161,8.0968,0.871,0.6129,1.4194,12.2581
,Eric Stubbs,0.9524,1.5714,2.5238,0.0476,0.2857,0.1905,2.619
,George Akpele,1.8889,2.7407,4.6296,0.3704,0.2593,1.2963,5.1111
,Derrick Bails,1.0,2.7083,3.7083,0.25,0.2917,0.4167,5.75
,Austin Steed,1.4333,1.4333,2.8667,0.2333,0.3333,0.3,2.9
,Papa Dia,2.931,5.4483,8.3793,1.3448,0.7586,1.2414,12.6552
22.0,Kenneth Faried,4.1818,8.9697,13.1515,0.5152,1.6061,1.9091,16.6364
,Jonathan Sloan,0.5455,0.9091,1.4545,0.2273,0.1818,0.2273,2.9091
,Hajji Martin,1.0357,1.6071,2.6429,0.2143,0.2857,0.4286,2.1071
,Pawel Kielbasa,0.4,0.6,1.0,0.0,0.05,0.1,1.05
,Jeremy Price,1.5,2.5333,4.0333,0.8333,0.4,0.4667,7.1667
,Brian Zoubek,3.575,4.15,7.725,0.975,0.675,0.775,5.575
,Lance Thomas,2.35,2.5,4.85,0.9,0.6,0.2,4.775
,Kurt Huelsman,1.8108,2.5676,4.3784,0.5405,0.5135,0.5676,4.5676
,Theryn Hudson,1.4444,1.2222,2.6667,0.1111,0.2222,0.6667,3.7778
,C.J. Webster,1.64,2.84,4.48,1.52,0.48,0.16,8.84
,Jeremy Jacob,1.5625,3.2188,4.7812,0.125,0.2188,0.1875,7.5312
,Calvin Hampton,0.3077,0.8462,1.1538,0.1538,0.0769,0.0769,0.7692
,Andrew Goba,0.6786,0.6071,1.2857,0.0714,0.1786,0.0714,0.9286
,Donald Lawson,3.0,3.9375,6.9375,0.7188,0.9375,1.4375,7.375
,Paul Nelson,1.7308,3.7308,5.4615,0.4615,0.1923,0.8462,6.0385
,Andrew Keister,3.1613,5.7742,8.9355,1.6452,0.4516,0.5806,10.1935
,Chris Walker,1.8571,2.1429,4.0,0.3214,0.6786,0.6071,4.5
,Eric Meister,2.0968,3.4839,5.5806,0.6774,0.4516,0.6774,5.4516
,Zisis Sarikopoulos,0.6429,0.7857,1.4286,0.1429,0.1429,0.4286,0.9286
,Trevor Morris,1.2069,2.0345,3.2414,0.4138,0.2069,0.8966,4.7241
,Brian Qvale,2.0357,5.0714,7.1071,0.7143,0.4643,2.0357,9.8214
,Justin Eller,2.037,3.4074,5.4444,0.5185,0.2593,0.4444,11.1111
,Steve Panos,1.9655,3.1724,5.1379,0.6207,0.2069,0.1724,10.5517
50.0,Solomon Alabi,2.4688,3.7188,6.1875,0.5,0.625,2.3438,11.6875
,Dallas Lauderdale,1.6389,3.5556,5.1944,0.25,0.6389,2.1389,6.4722
,Michael Freeman,2.5484,4.9032,7.4516,0.7419,1.4516,1.1613,11.6129
,John Garcia,1.2581,2.2258,3.4839,0.2581,0.2581,0.871,3.2903
