,pick,mp,oreb,dreb,treb,ast,stl,blk,pts
2,,33.1852,0.6296,2.3333,2.963,1.963,0.4815,0.0,12.1852
6,,31.1111,2.1481,3.8889,6.037,1.8148,1.7778,0.7407,15.2593
8,,33.2667,0.8,3.9333,4.7333,4.1333,1.7333,0.8,10.5
9,,32.3,1.7333,3.4667,5.2,1.7333,1.2333,0.1,11.8667
13,,32.2059,1.6765,4.9706,6.6471,1.2353,0.4706,0.3824,16.8824
15,,30.2857,1.3143,3.2286,4.5429,3.8286,1.7143,0.6857,7.0571
22,,36.5517,0.6552,3.3793,4.0345,4.1379,1.2414,0.1379,17.1724
27,,34.8333,0.5,2.0333,2.5333,1.9,1.4,0.0333,15.4333
33,44.0,35.0323,0.9032,3.8387,4.7419,4.3226,1.4194,0.4516,19.5161
34,,31.1143,1.4,2.9143,4.3143,2.6571,1.3714,0.1143,9.3714
38,,32.5,2.9333,4.3,7.2333,1.2667,0.8667,0.6667,15.1667
40,,33.3333,0.8485,3.0,3.8485,5.3333,1.4242,0.2121,16.8788
51,,36.2759,0.3448,3.1379,3.4828,4.6207,1.3103,0.2759,16.6897
53,,36.0645,0.5806,2.6774,3.2581,1.6129,1.0323,0.0323,23.8387
72,,33.8387,1.3548,2.9355,4.2903,3.2581,1.2581,0.0323,13.1613
76,,30.2143,1.0,1.5714,2.5714,4.3929,0.8929,0.0357,4.1071
79,,35.8571,0.381,3.619,4.0,3.619,1.2857,0.0476,14.4286
89,,34.0286,1.3143,4.4286,5.7429,2.4571,1.2286,0.5143,18.3143
90,,35.0286,0.8,3.7429,4.5429,3.9143,2.0286,0.6,19.8
102,33.0,32.2703,3.027,4.6486,7.6757,2.4054,1.5405,1.027,16.4595
104,55.0,33.0811,1.0541,3.5676,4.6216,3.0,1.0811,0.4324,13.8378
108,,36.0833,1.0833,4.125,5.2083,1.75,1.3333,0.2083,17.2083
110,,32.9583,0.625,3.125,3.75,1.7083,1.0,0.125,14.5833
111,,35.2727,0.4242,2.6061,3.0303,5.0,0.7273,0.0,18.2727
112,8.0,35.6765,4.2059,6.8235,11.0294,1.4706,0.8824,1.7059,18.2647
113,44.0,37.6286,1.4,4.8,6.2,3.3714,1.4286,0.4571,18.0
115,,36.1081,1.6486,3.7568,5.4054,1.9189,1.0541,0.1081,24.5405
122,,32.9,0.6,2.4333,3.0333,1.5333,1.1,0.0,12.5333
123,,35.9286,0.8571,4.0357,4.8929,1.6429,0.6429,0.2143,14.2857
124,,33.1071,1.9643,4.5714,6.5357,2.0,0.7857,2.1071,16.1429
128,,33.871,1.0645,2.129,3.1935,5.0,1.4839,0.0968,12.0968
132,,30.7941,1.3235,2.7059,4.0294,2.7647,1.3529,0.3824,10.2647
135,,31.9688,0.5,1.5938,2.0938,2.625,1.1875,0.0,12.375
142,,32.2667,4.5667,5.2667,9.8333,0.9,0.6333,1.0,14.8333
144,,30.8333,1.0,1.4583,2.4583,1.7083,0.875,0.0,5.0833
147,,32.3704,2.0,4.3333,6.3333,2.4074,0.7778,0.4444,11.0
150,,32.3103,1.5172,4.1724,5.6897,1.8276,0.4138,0.2414,14.9655
152,20.0,35.4706,0.4706,3.1176,3.5882,6.1765,1.7059,0.1765,22.3529
154,,30.7333,1.9,2.6667,4.5667,1.1,0.4,0.5,14.0667
155,,31.0909,2.0909,4.5758,6.6667,2.303,1.5758,0.8788,16.3939
159,,30.4828,0.6552,2.7586,3.4138,3.4483,2.1379,0.3103,8.069
163,,30.5862,3.1379,5.4138,8.5517,1.0,0.7931,0.6897,14.0345
164,,32.8276,0.6897,4.3793,5.069,4.069,1.6552,0.069,13.931
167,,30.5,0.4286,3.1429,3.5714,0.9643,0.7143,0.0714,14.8929
171,,35.0,0.6,2.7333,3.3333,3.6333,1.0667,0.1667,13.6333
174,,34.5938,0.6562,2.4375,3.0938,3.5625,1.3438,0.0312,16.0312
178,,33.5455,1.303,2.8485,4.1515,4.1818,1.1818,0.2121,14.4545
184,,33.5806,0.4839,2.4516,2.9355,2.5484,0.5161,0.0,11.2581
185,,30.8,0.7143,2.7429,3.4571,2.8286,1.9714,0.1714,14.6286
186,,32.7667,0.7667,2.5333,3.3,2.2667,1.6667,0.3333,12.0
189,,34.4242,0.7879,1.8182,2.6061,1.4848,1.6667,0.1818,14.6364
190,14.0,34.2703,2.7568,5.9459,8.7027,3.2162,1.027,1.3784,14.1892
193,,36.1613,1.2903,2.4194,3.7097,0.8387,1.7742,0.0323,22.6129
206,,30.1212,1.2121,3.3636,4.5758,1.2424,0.6667,0.4242,7.303
207,,34.3571,1.7143,2.75,4.4643,2.3571,2.0,0.1071,10.5
211,,31.9697,0.4545,1.3939,1.8485,3.3939,2.1212,0.1212,11.7273
215,,35.0714,1.9643,3.2857,5.25,1.4286,0.75,0.0714,14.2857
218,,36.7647,1.0,3.0,4.0,4.4706,1.4706,0.3235,18.0882
221,,30.3448,2.5517,5.6552,8.2069,1.0,0.6897,0.4138,9.0
226,,32.625,1.875,3.4062,5.2812,1.0625,0.8438,0.5938,14.0625
230,,36.4062,1.7812,8.5625,10.3438,2.625,1.375,0.1875,15.375
232,33.0,31.5526,2.6053,4.8684,7.4737,1.2368,1.2368,1.2368,16.1053
234,,31.3793,0.8621,2.5517,3.4138,4.9655,2.1379,0.3103,10.9655
241,,36.9333,0.6,4.6333,5.2333,2.6333,1.9667,0.3667,17.1333
243,28.0,34.5714,1.0571,4.3429,5.4,5.0286,1.4,0.3714,17.5143
246,,31.8214,1.0357,2.5357,3.5714,2.25,0.4643,0.0357,8.6786
248,,31.0769,1.5,2.7308,4.2308,1.0385,1.0,0.5385,12.3462
262,,33.8235,2.5,6.6765,9.1765,1.2353,1.0882,0.6176,14.0294
263,32.0,32.0333,1.9,3.3,5.2,1.8,1.2333,0.7333,26.0333
280,,37.3429,0.4286,3.8,4.2286,4.7429,1.3714,0.2571,12.2857
281,,30.7273,2.8182,5.5758,8.3939,1.303,1.8485,1.2727,13.6667
285,,35.1667,0.4333,1.7,2.1333,3.8333,0.8333,0.0333,13.0333
289,,30.0857,1.2571,5.9429,7.2,1.6286,0.9429,0.0286,12.6857
292,,31.2857,1.5,3.4286,4.9286,2.1786,1.1071,0.4286,15.6071
296,,35.6897,0.7586,3.6897,4.4483,1.4138,0.931,0.1379,17.6207
299,,34.6207,0.4138,3.1724,3.5862,2.6207,0.8966,0.2069,18.2069
305,,34.8286,1.7143,2.9143,4.6286,1.9714,2.6,0.8,16.2286
306,,37.9032,1.129,3.2903,4.4194,4.0,1.1613,0.0968,15.6129
316,,30.3333,0.6,1.8,2.4,2.3333,1.2667,0.2,5.3667
317,,37.25,0.6562,3.5625,4.2188,4.375,1.1562,0.125,11.7188
320,,31.5185,0.5185,2.5185,3.037,3.8889,0.8519,0.0,13.037
321,,34.5161,0.8065,2.6452,3.4516,3.7097,2.129,0.0645,20.9032
335,,32.8929,2.25,4.6071,6.8571,0.6786,0.5,0.6071,19.8929
338,,30.3939,1.0606,3.2727,4.3333,1.697,0.8485,0.2121,13.6364
351,,30.2424,0.303,3.2727,3.5758,3.1515,0.6667,0.0606,11.7273
355,,30.1,1.5333,5.6,7.1333,1.9667,0.9333,0.2,10.3
356,,30.5172,0.2759,1.2759,1.5517,2.4828,1.5517,0.1034,12.0
357,,33.1034,1.3793,4.3793,5.7586,5.1034,1.4483,0.5172,10.4138
361,,34.5714,0.6071,2.7143,3.3214,4.8214,2.0357,0.0357,11.4643
369,,33.8276,3.069,7.069,10.1379,1.6897,2.069,3.8966,11.3448
373,,33.68,0.68,2.44,3.12,4.44,1.52,0.08,6.44
374,,34.5882,1.7353,4.9118,6.6471,2.9706,1.5294,0.4118,12.9706
377,,34.6667,1.5152,1.8485,3.3636,2.1515,1.6061,0.5152,14.6061
391,,34.5714,3.1429,6.8571,10.0,1.6857,0.5429,1.1429,13.7143
392,,34.9667,0.3333,2.4,2.7333,3.0,0.9667,0.0333,16.2333
393,,35.0714,2.1429,3.0357,5.1786,0.8214,1.0357,0.5,14.2143
394,,32.871,0.6129,2.1935,2.8065,4.5161,2.871,0.129,19.8065
398,,32.5926,1.7037,2.7778,4.4815,2.9259,1.8519,0.037,13.5556
401,,33.069,1.1724,2.4828,3.6552,2.4138,0.8966,0.1034,11.7931
