,player_name,team,conf,GP,Min_per,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,yr,ht,num,porpag,adjoe,pfr,year,pid,type,Rec Rank,ast/tov,rimmade,rimmade+rimmiss,midmade,midmade+midmiss,rimmade/(rimmade+rimmiss),midmade/(midmade+midmiss),dunksmade,dunksmiss+dunksmade,dunksmade/(dunksmade+dunksmiss),pick,drtg,adrtg,dporpag,stops,bpm,obpm,dbpm,gbpm,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,Unnamed: 64,Unnamed: 65
22,Corey Lowe,Boston University,AE,29,84.8,103.6,27.5,53.5,54.68,2.1,10.9,28.7,20.8,65,106,0.613,89,177,0.503,85,228,0.373,0.4,2.1,26.2,Jr,2-Jun,,3.31153,111.501,2.5,2009,39,all,55.6,1.23711429,,,,,,,,,,,101.758,104.263,2.67557,170.404,1.22326,2.91962,-1.69636,2.03561,36.5517,3.1385,-1.1029,0.6552,3.3793,4.0345,4.1379,1.2414,0.1379,17.1724,,13.4689
33,Charles Jenkins,Hofstra,CAA,31,86.2,104.3,30.8,43.1,50.76,2.7,11.9,32.6,18.5,183,223,0.821,166,396,0.419,30,94,0.319,1.4,2.4,45.5,So,3-Jun,,4.02167,117.884,3.1,2009,57,all,,1.27619495,,,,,,,,,,44.0,97.5891,98.6127,3.30834,199.39,3.42258,2.77553,0.647047,4.6149,35.0323,3.4484,1.1665,0.9032,3.8387,4.7419,4.3226,1.4194,0.4516,19.5161,,5.09412
51,Jeremy Wise,Southern Miss,CUSA,29,89.5,104.6,27.7,47.0,55.85,1.1,10.9,28.8,20.1,170,209,0.813,124,239,0.519,22,95,0.232,0.9,2.3,62.6,Jr,2-Jun,,4.19513,118.025,3.1,2009,99,all,55.2,1.42552597,,,,,,,,,,,105.387,102.142,2.99805,178.318,3.16488,3.56007,-0.395196,3.93006,36.2759,3.50939,0.420674,0.3448,3.1379,3.4828,4.6207,1.3103,0.2759,16.6897,,5.63586
53,Josh Akognon,Cal St. Fullerton,BW,31,89.4,107.9,30.6,50.5,54.91,1.8,8.5,10.8,13.9,129,145,0.89,110,249,0.442,130,355,0.366,0.1,1.7,24.0,Sr,11-May,,4.58534,121.203,2.2,2009,102,all,20.4,0.60974596,,,,,,,,,,,109.875,109.491,2.08261,169.646,-0.955189,3.6778,-4.63299,2.62491,36.0645,5.65578,-3.03087,0.5806,2.6774,3.2581,1.6129,1.0323,0.0323,23.8387,,18.4363
79,Kenny Dawkins,Lamar,Slnd,21,71.7,96.5,23.4,44.7,51.03,1.2,11.5,22.4,21.4,73,84,0.869,61,139,0.439,36,118,0.305,0.1,2.1,32.7,Sr,9-May,,2.13482,101.629,2.1,2009,149,all,,1.16922974,,,,,,,,,,,106.305,106.023,2.48922,127.573,-1.2298,0.44876,-1.67856,-0.519,35.8571,0.511811,-1.03081,0.381,3.619,4.0,3.619,1.2857,0.0476,14.4286,,9.07908
90,Jerel McNeal,Marquette,BE,35,87.3,109.4,27.8,52.2,55.8,2.6,12.7,24.4,17.3,135,183,0.738,150,318,0.472,86,216,0.398,1.9,3.3,34.3,Sr,3-Jun,,4.9273,124.949,2.8,2009,170,all,86.0,1.33008259,,,,,,,,,,,97.8832,92.656,4.07084,249.531,8.14039,5.56089,2.5795,8.88038,35.0286,6.36282,2.51756,0.8,3.7429,4.5429,3.9143,2.0286,0.6,19.8,,10.0894
108,Kyndall Dykes,New Orleans,SB,24,77.3,100.4,26.5,49.5,52.81,3.7,13.9,13.1,15.5,91,139,0.655,158,312,0.506,2,13,0.154,0.6,2.2,42.8,Sr,3-Jun,,2.65396,105.463,1.9,2009,207,all,,0.71187403,,,,,,,,,,,100.045,101.657,3.08139,158.42,-0.449076,-0.452203,0.00312703,1.49993,36.0833,1.51453,-0.0145929,1.0833,4.125,5.2083,1.75,1.3333,0.2083,17.2083,,0.901361
111,Jerome Randle,California,P10,33,86.9,121.8,25.2,60.9,65.91,1.6,8.8,28.3,19.6,139,161,0.863,109,204,0.534,82,177,0.463,0.0,1.2,42.3,Jr,10-May,,6.21295,135.797,2.0,2009,212,all,72.6,1.73683484,,,,,,,,,,,105.512,99.6069,3.21439,173.786,6.97687,7.8581,-0.881223,8.22523,35.2727,8.08056,0.144665,0.4242,2.6061,3.0303,5.0,0.7273,0.0,18.2727,,9.19279
112,Jordan Hill,Arizona,P10,34,86.3,108.9,28.0,53.7,56.04,15.4,22.2,9.6,17.5,117,179,0.654,252,469,0.537,0,0,0.0,5.6,1.5,38.2,Jr,10-Jun,,5.25931,126.906,3.4,2009,215,all,83.0,0.51547548,,,,,,,,,,8.0,101.241,94.4767,3.92113,251.586,5.5629,3.55648,2.00643,4.59277,35.6765,4.56177,0.0309945,4.2059,6.8235,11.0294,1.4706,0.8824,1.7059,18.2647,,0.0
113,Chase Budinger,Arizona,P10,35,93.7,117.5,23.9,55.4,59.42,4.9,14.8,19.0,16.6,125,156,0.801,152,288,0.528,67,168,0.399,1.4,2.3,34.2,Jr,7-Jun,,6.01009,130.461,2.0,2009,217,all,99.0,1.3882072,,,,,,,,,,44.0,105.009,98.1723,3.65529,237.463,7.82959,6.90449,0.925103,8.48344,37.6286,7.4571,1.02634,1.4,4.8,6.2,3.3714,1.4286,0.4571,18.0,,7.83562
