,Unnamed: 0,player_name,team,conf,GP,Min_per,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,yr,ht,num,porpag,adjoe,pfr,year,pid,type,Rec Rank,ast/tov,rimmade,rimmade+rimmiss,midmade,midmade+midmiss,rimmade/(rimmade+rimmiss),midmade/(midmade+midmiss),dunksmade,dunksmiss+dunksmade,dunksmade/(dunksmade+dunksmiss),pick,drtg,adrtg,dporpag,stops,bpm,obpm,dbpm,gbpm,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,position,Unnamed: 65
0,4619,Vernon Macklin,Florida,SEC,34,62.5,116.3,19.8,60.7,60.85,11.9,12.9,6.5,16.2,47,80,0.588,156,257,0.607,0,0,0.0,3.5,1.4,31.1,Jr,10-Jun,32.0,3.14036,120.721,3.8,2010,91,all,95.0,0.56523023,121.0,164.0,35.0,93.0,0.7378,0.3763,42.0,45.0,0.9333,52.0,99.6269,95.2206,2.71272,150.896,5.30216,3.5642,1.73797,4.85543,25.2647,3.80201,1.05341,2.6765,2.8529,5.5294,0.7647,0.5882,0.8529,10.5588,C,0.0
1,4648,Ryan Reid,Florida St.,ACC,31,54.8,97.5,18.3,49.1,51.58,9.9,10.0,10.1,23.2,46,77,0.597,82,167,0.491,0,0,0.0,2.6,1.5,46.1,Sr,8-Jun,42.0,1.18608,99.6167,2.6,2010,193,all,82.0,0.68623872,45.0,71.0,37.0,96.0,0.6338,0.3854,5.0,5.0,1.0,57.0,93.5205,88.4882,2.98377,117.284,2.50667,-0.238258,2.74493,2.72072,22.7097,0.514712,2.20601,1.871,2.0968,3.9677,1.129,0.5806,0.5161,6.7742,C,0.0
2,4653,JaJuan Johnson,Purdue,B10,35,77.8,107.9,25.4,50.7,56.05,8.8,18.0,5.4,13.6,158,220,0.718,192,375,0.512,0,4,0.0,7.0,1.6,58.0,Jr,10-Jun,25.0,3.86202,120.272,2.6,2010,203,all,91.6,0.41272224,49.0,73.0,143.0,302.0,0.6712,0.4735,30.0,31.0,0.9677,27.0,88.7911,83.5282,4.6405,233.811,6.00934,0.885954,5.12339,6.89002,31.2286,3.64934,3.24067,2.3429,4.8,7.1429,0.7429,0.8571,2.0571,15.4857,C,0.218406
3,4687,Jeremy Evans,Western Kentucky,SB,34,65.3,129.2,17.3,65.6,66.82,13.5,17.8,5.9,14.0,64,93,0.688,134,199,0.673,3,12,0.25,7.2,1.9,44.1,Sr,9-Jun,40.0,3.49748,123.099,4.4,2010,331,all,,0.69446545,113.0,139.0,21.0,60.0,0.8129,0.35,61.0,64.0,0.9531,55.0,95.1372,95.7192,2.78986,192.491,8.08383,3.91722,4.16661,6.18888,26.5,4.051,2.13788,2.9706,3.9412,6.9118,0.7353,0.8235,1.7941,10.0294,C,0.806003
4,4826,Cole Aldrich,Kansas,B12,36,66.4,116.9,20.2,56.2,59.61,13.6,25.4,5.8,16.4,108,159,0.679,149,265,0.562,0,0,0.0,13.0,1.6,60.0,Jr,11-Jun,45.0,3.51491,122.635,3.8,2010,763,all,94.8,0.55354846,92.0,126.0,57.0,139.0,0.7302,0.4101,32.0,33.0,0.9697,11.0,84.64,78.9024,4.40012,253.179,11.5599,3.09864,8.4613,9.80489,26.75,4.63956,5.16533,3.0556,6.7778,9.8333,0.8611,0.75,3.4722,11.2778,C,0.0
5,4852,Dexter Pittman,Texas,B12,34,47.1,113.1,24.4,65.4,63.82,16.6,15.3,5.1,20.4,75,135,0.556,140,214,0.654,0,0,0.0,8.9,1.0,63.1,Sr,10-Jun,34.0,2.67827,125.449,5.6,2010,827,all,76.6,0.28333427,105.0,143.0,35.0,71.0,0.7343,0.493,40.0,42.0,0.9524,32.0,92.6265,87.7332,2.53615,142.338,8.09001,3.96504,4.12497,6.99774,19.0588,4.17635,2.8214,2.9706,2.8824,5.8529,0.5,0.3529,1.8529,10.4412,C,0.0
6,4941,Lavoy Allen,Temple,A10,35,85.5,114.8,19.7,54.4,55.71,12.3,23.6,14.9,14.4,55,88,0.625,166,296,0.561,5,23,0.217,4.6,1.0,27.6,Jr,9-Jun,24.0,3.90103,117.364,2.6,2010,1089,all,78.8,1.56600418,107.0,136.0,59.0,160.0,0.7868,0.3688,33.0,33.0,1.0,50.0,86.2266,82.7441,5.19519,258.252,9.94786,3.40173,6.54613,8.27787,34.4571,4.30145,3.97642,3.5429,7.1714,10.7143,2.3714,0.5429,1.4286,11.4857,C,1.23155
7,5107,Kenneth Faried,Morehead St.,OVC,33,76.4,108.9,27.1,57.0,58.17,15.8,37.3,4.1,18.0,133,225,0.591,208,362,0.575,0,3,0.0,7.9,3.1,61.6,Jr,8-Jun,35.0,3.31866,115.804,4.3,2010,1626,all,,0.20483462,172.0,244.0,36.0,118.0,0.7049,0.3051,62.0,68.0,0.9118,22.0,83.9491,84.7417,4.42817,279.652,3.9551,0.0212939,3.9338,6.21065,30.7879,3.98651,2.22414,4.1818,8.9697,13.1515,0.5152,1.6061,1.9091,16.6364,C,0.17637
8,5214,Solomon Alabi,Florida St.,ACC,32,63.8,110.7,22.2,53.4,59.63,11.6,15.7,4.4,19.7,108,136,0.794,133,249,0.534,0,0,0.0,10.4,1.4,54.6,So,1-Jul,32.0,3.02759,118.687,3.7,2010,1924,all,95.4,0.26230195,83.0,114.0,50.0,135.0,0.7281,0.3704,38.0,41.0,0.9268,50.0,87.2086,82.9266,3.85983,176.318,6.53286,0.499021,6.03384,6.93068,25.625,2.74912,4.18156,2.4688,3.7188,6.1875,0.5,0.625,2.3438,11.6875,C,0.0
9,5350,Dwayne Collins,Miami FL,ACC,28,54.6,105.7,26.4,61.2,60.54,14.3,21.6,10.5,22.5,86,154,0.558,126,206,0.612,0,0,0.0,5.1,1.5,74.8,Sr,8-Jun,21.0,2.90439,118.033,3.9,2010,2387,all,77.6,0.47143998,97.0,131.0,29.0,75.0,0.7405,0.3867,49.0,54.0,0.9074,60.0,94.2041,92.8863,2.91224,146.902,5.13182,2.73811,2.3937,4.66374,24.9643,3.74939,0.914353,2.9643,4.75,7.7143,1.1786,0.6071,1.1429,12.0714,C,0.0
