,Unnamed: 0,player_name,team,conf,GP,Min_per,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,yr,ht,num,porpag,adjoe,pfr,year,pid,type,Rec Rank,ast/tov,rimmade,rimmade+rimmiss,midmade,midmade+midmiss,rimmade/(rimmade+rimmiss),midmade/(midmade+midmiss),dunksmade,dunksmiss+dunksmade,dunksmade/(dunksmade+dunksmiss),pick,drtg,adrtg,dporpag,stops,bpm,obpm,dbpm,gbpm,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,position,Unnamed: 65
0,4650,Nolan Smith,Duke,ACC,38,84.4,115.5,23.7,49.6,53.44,2.9,5.8,17.6,13.0,122,159,0.767,179,389,0.46,60,153,0.392,0.6,2.0,29.3,Jr,2-Jun,2,5.54569,129.457,2.0,2010,198,all,95.8,1.65216438,95.0,155.0,84.0,231.0,0.6129,0.3636,10.0,14.0,0.7143,21.0,96.267,90.4999,4.44184,206.298,6.54489,5.0843,1.46058,7.68869,35.5526,5.38273,2.30597,0.9211,1.8684,2.7895,3.0,1.1842,0.2368,17.3684,Combo G,6.81164
1,4652,E'Twaun Moore,Purdue,B10,35,78.5,103.9,27.7,49.9,53.13,3.4,10.8,19.8,14.3,100,137,0.73,161,330,0.488,51,146,0.349,1.0,2.8,28.8,Jr,4-Jun,33,3.74284,118.854,2.9,2010,201,all,95.0,1.27396074,42.0,63.0,119.0,267.0,0.6667,0.4457,6.0,7.0,0.8571,55.0,92.4751,86.9938,4.30533,204.762,6.81518,3.93199,2.88319,7.75615,31.5143,4.75739,2.99876,0.9143,2.9143,3.8286,2.6571,1.4571,0.2857,16.4286,Combo G,7.90072
2,5018,Jordan Crawford,Xavier,A10,35,79.4,113.0,28.9,53.2,56.43,3.4,12.0,20.1,14.7,119,154,0.773,181,361,0.501,79,202,0.391,0.6,2.4,27.4,So,4-Jun,55,5.2373,132.041,2.0,2010,1345,all,52.8,1.18821539,111.0,178.0,70.0,183.0,0.6236,0.3825,17.0,18.0,0.9444,27.0,97.334,93.4411,3.6428,213.404,7.51311,6.47642,1.0367,9.56247,32.7714,8.04605,1.51642,0.9714,3.7714,4.7429,2.8857,1.3429,0.2,20.5143,Combo G,10.0716
3,5315,Dominique Jones,South Florida,BE,33,92.0,110.1,30.2,50.3,56.22,3.6,14.9,24.4,16.0,209,282,0.741,170,326,0.521,52,167,0.311,1.6,2.8,57.2,Jr,4-Jun,20,5.66368,128.843,3.0,2010,2231,all,,1.23712323,102.0,148.0,68.0,178.0,0.6892,0.382,11.0,12.0,0.9167,25.0,98.0138,92.4328,4.35227,235.792,8.4962,5.97313,2.52308,9.79203,37.0909,6.99379,2.79824,1.1212,4.9697,6.0909,3.6364,1.697,0.5758,21.3636,Combo G,8.29046
4,5580,Andrew Goudelock,College of Charleston,SC,34,88.6,113.0,27.2,53.9,55.84,2.4,10.8,22.1,12.0,61,74,0.824,153,307,0.498,97,247,0.393,1.0,1.8,13.4,Jr,1-Jun,3,4.69345,122.651,1.9,2010,3120,all,,1.92645001,42.0,68.0,111.0,239.0,0.6176,0.4644,2.0,2.0,1.0,46.0,106.747,107.322,2.36026,201.019,3.26661,5.3251,-2.05848,5.02111,35.5882,6.29177,-1.27066,0.7353,3.6176,4.3529,3.8529,1.1176,0.3824,19.3529,Combo G,11.8361
5,5981,Damian Lillard,Weber St.,BSky,29,84.9,117.1,27.4,52.5,58.81,1.3,12.6,23.6,15.1,151,178,0.848,95,203,0.468,81,209,0.388,0.4,2.1,43.2,So,2-Jun,1,4.90542,126.114,2.2,2010,4509,all,57.4,1.47886291,74.0,136.0,21.0,67.0,0.5441,0.3134,8.0,8.0,1.0,6.0,104.115,102.854,2.78825,172.024,3.81034,5.1708,-1.36046,6.44525,34.4138,6.61777,-0.172524,0.3793,3.6552,4.0345,3.6207,1.2069,0.1379,20.1379,Combo G,12.2157
6,6102,Marcus Denmon,Missouri,B12,34,52.1,117.9,21.2,55.3,57.42,4.5,10.9,13.1,11.5,53,76,0.697,49,106,0.462,68,167,0.407,0.6,2.3,27.8,So,3-Jun,12,2.90898,124.718,2.7,2010,5174,all,76.4,1.54836585,31.0,56.0,18.0,50.0,0.5536,0.36,1.0,3.0,0.3333,59.0,95.7303,91.0748,2.56294,126.309,5.81031,5.59608,0.214225,6.99426,21.0,5.95714,1.03712,0.8824,2.0588,2.9412,1.4118,0.8529,0.1176,10.4412,Combo G,13.1486
7,6432,Reggie Jackson,Boston College,ACC,31,75.3,106.7,26.2,47.8,51.57,7.5,14.7,30.5,20.0,77,105,0.733,113,227,0.498,32,110,0.291,1.5,1.2,31.2,So,3-Jun,0,3.82737,121.114,2.7,2010,6923,all,82.4,1.73754167,72.0,120.0,41.0,107.0,0.6,0.3832,11.0,13.0,0.8462,24.0,101.051,97.8,3.00102,157.694,6.3706,5.19255,1.17805,5.87867,30.129,5.21254,0.666129,1.9032,3.7742,5.6774,4.4839,0.6129,0.4516,12.871,Combo G,7.18687
8,6784,Isaiah Thomas,Washington,P10,35,75.4,108.7,26.0,48.8,53.99,2.1,11.9,19.5,16.1,156,213,0.732,121,249,0.486,65,199,0.327,0.3,1.9,47.5,So,8-May,2,4.02155,121.886,2.5,2010,8712,all,57.6,1.33735343,73.0,115.0,48.0,134.0,0.6348,0.3582,0.0,0.0,,60.0,98.0477,92.7601,3.63033,196.57,5.37921,4.60979,0.769427,6.41187,31.1143,5.09193,1.31994,0.5714,3.3429,3.9143,3.1714,1.0571,0.0857,16.9429,Combo G,10.0546
9,7311,Darius Johnson-Odom,Marquette,BE,34,73.1,107.9,22.9,56.4,58.22,2.0,9.3,17.0,18.3,65,96,0.677,79,180,0.439,73,154,0.474,0.6,1.8,28.7,So,2-Jun,1,3.19965,116.033,3.1,2010,10809,all,,1.19120002,50.0,84.0,29.0,96.0,0.5952,0.3021,6.0,8.0,0.75,55.0,102.197,96.5318,3.04181,150.805,3.70495,3.23448,0.47047,4.42564,29.6765,3.72536,0.700279,0.4706,2.1765,2.6471,2.3824,0.8824,0.1765,13.0,Combo G,9.51756
