,Unnamed: 0,player_name,team,conf,GP,Min_per,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,yr,ht,num,porpag,adjoe,pfr,year,pid,type,Rec Rank,ast/tov,rimmade,rimmade+rimmiss,midmade,midmade+midmiss,rimmade/(rimmade+rimmiss),midmade/(midmade+midmiss),dunksmade,dunksmiss+dunksmade,dunksmade/(dunksmade+dunksmiss),pick,drtg,adrtg,dporpag,stops,bpm,obpm,dbpm,gbpm,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,position,Unnamed: 65
0,4700,Derrick Caracter,UTEP,CUSA,27,53.9,103.5,27.3,57.5,59.84,12.0,21.7,9.0,22.2,80,119,0.672,144,246,0.585,4,15,0.267,3.6,2.1,45.6,Jr,9-Jun,4,2.80389,115.227,4.6,2010,359,all,95.4,0.38959989,85.0,123.0,59.0,123.0,0.6911,0.4797,11.0,11.0,1.0,58.0,89.4752,85.588,3.7413,156.91,3.73222,0.370877,3.36134,4.33394,26.6667,2.39652,1.93742,2.6667,5.4074,8.0741,1.1111,0.963,0.8519,14.0741,PF/C,1.14351
1,4850,Damion James,Texas,B12,34,74.8,115.6,25.5,54.4,57.83,11.0,23.9,6.1,14.1,155,230,0.674,174,325,0.535,36,94,0.383,3.6,3.0,54.9,Sr,7-Jun,5,4.72214,129.966,3.9,2010,825,all,96.8,0.47826942,110.0,151.0,64.0,174.0,0.7285,0.3678,29.0,30.0,0.9667,24.0,87.0914,82.4905,4.57189,274.792,8.40478,5.14642,3.25836,9.92271,30.2647,7.03914,2.88357,3.1471,7.1471,10.2941,0.9706,1.6765,1.1765,17.9706,PF/C,4.90991
2,5220,Jon Leuer,Wisconsin,B10,24,52.0,119.2,26.9,55.5,58.35,6.4,20.0,14.9,8.6,67,93,0.72,124,226,0.549,18,46,0.391,5.2,1.3,34.2,Jr,10-Jun,30,4.93618,134.17,2.9,2010,1932,all,84.0,1.625,37.0,59.0,87.0,167.0,0.6271,0.521,13.0,13.0,1.0,40.0,92.0918,86.8312,3.94313,126.449,8.90057,5.13257,3.768,11.4523,28.7917,8.1198,3.33254,1.4583,4.3333,5.7917,1.625,0.5417,1.3333,15.375,PF/C,4.43665
3,5468,Robert Sacre,Gonzaga,WCC,33,63.0,101.2,22.2,52.2,55.93,9.1,14.8,4.6,20.2,107,170,0.629,116,224,0.518,1,1,1.0,7.8,1.6,75.6,So,Jul-00,0,1.84541,105.61,4.7,2010,2747,all,65.2,0.30305001,65.0,88.0,51.0,137.0,0.7386,0.3723,29.0,30.0,0.9667,60.0,94.2778,90.8069,3.12138,181.333,3.79492,-0.544877,4.3398,2.47962,25.4848,-0.0525228,2.53214,1.8788,3.5455,5.4242,0.6061,0.697,1.9394,10.3636,PF/C,0.0679069
4,5619,Luke Harangody,Notre Dame,BE,30,69.9,113.0,31.8,50.6,55.19,8.3,24.2,11.8,10.6,140,178,0.787,219,426,0.514,25,81,0.309,2.1,0.9,35.1,Sr,8-Jun,44,5.59259,133.597,2.8,2010,3225,all,82.4,0.8703889,113.0,171.0,106.0,255.0,0.6608,0.4157,10.0,12.0,0.8333,52.0,103.004,98.5961,3.17934,184.54,3.39615,3.98874,-0.592593,5.02742,32.9667,6.06659,-1.03917,2.2333,6.8667,9.1,1.5667,0.4667,0.6667,21.7667,PF/C,5.07366
5,5756,Craig Brackins,Iowa St.,B12,32,86.5,103.0,25.1,45.0,49.8,6.6,19.4,13.1,13.8,117,154,0.76,165,370,0.446,27,87,0.31,3.3,1.3,33.7,Jr,10-Jun,21,3.44068,113.175,2.3,2010,3689,all,94.2,1.01468232,53.0,69.0,112.0,301.0,0.7681,0.3721,35.0,38.0,0.9211,21.0,97.7414,91.463,4.20532,232.463,4.77128,1.9217,2.84958,5.06978,35.125,3.13997,1.92981,2.0938,6.4375,8.5312,2.1562,0.7812,1.1875,16.5,PF/C,4.41964
6,5767,Patrick Patterson,Kentucky,SEC,38,81.8,129.5,17.2,60.7,62.42,10.6,13.4,5.5,10.7,90,130,0.692,191,305,0.626,24,69,0.348,4.1,1.2,34.8,Jr,9-Jun,54,5.09067,129.364,1.9,2010,3715,all,98.2,0.87811659,136.0,165.0,50.0,127.0,0.8242,0.3937,65.0,70.0,0.9286,14.0,94.0703,89.5707,4.19133,233.26,9.11359,5.81768,3.29592,8.74506,33.0263,6.23586,2.5092,3.0526,4.3947,7.4474,0.9474,0.7105,1.3421,14.3158,PF/C,3.09222
7,5889,Mike Scott,Virginia,ACC,28,61.4,104.5,24.9,51.1,53.45,9.8,21.6,11.4,15.2,46,64,0.719,140,276,0.507,3,7,0.429,1.1,1.4,22.6,Jr,8-Jun,32,3.10087,117.376,2.8,2010,4079,all,26.8,0.76084972,80.0,115.0,60.0,161.0,0.6957,0.3727,14.0,16.0,0.875,43.0,97.7203,92.4721,3.21047,140.776,2.55812,1.20838,1.34975,3.88438,27.4286,3.34545,0.538932,2.2857,4.8929,7.1786,1.25,0.6071,0.2857,11.9643,PF/C,0.575595
8,5952,Markieff Morris,Kansas,B12,36,43.5,111.0,20.1,59.9,61.19,11.9,20.3,10.7,22.8,61,98,0.622,76,133,0.571,10,19,0.526,5.5,1.5,64.5,So,9-Jun,21,1.92038,116.298,5.8,2010,4369,all,76.6,0.76466435,60.0,85.0,16.0,48.0,0.7059,0.3333,20.0,21.0,0.9524,13.0,90.9836,84.816,2.53206,135.668,7.98324,3.51517,4.46807,5.98934,17.5278,2.65169,3.33765,1.75,3.5556,5.3056,1.0833,0.4444,0.9722,6.75,PF/C,1.66654
9,6145,Nikola Vucevic,USC,P10,30,80.0,107.2,19.8,52.0,55.27,12.1,23.2,8.9,18.8,61,85,0.718,118,214,0.551,8,36,0.222,4.5,1.2,34.0,So,10-Jun,5,2.8729,110.377,3.4,2010,5408,all,44.0,0.63157898,67.0,94.0,51.0,114.0,0.7128,0.4474,14.0,15.0,0.9333,16.0,86.6694,82.5209,4.88396,201.056,7.4177,1.63169,5.78601,6.35383,32.2667,2.62844,3.7254,3.1333,6.3,9.4333,1.2,0.6,1.3,10.7,PF/C,2.34214
