,Unnamed: 0,player_name,team,conf,GP,Min_per,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,yr,ht,num,porpag,adjoe,pfr,year,pid,type,Rec Rank,ast/tov,rimmade,rimmade+rimmiss,midmade,midmade+midmiss,rimmade/(rimmade+rimmiss),midmade/(midmade+midmiss),dunksmade,dunksmiss+dunksmade,dunksmade/(dunksmade+dunksmiss),pick,drtg,adrtg,dporpag,stops,bpm,obpm,dbpm,gbpm,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,position,Unnamed: 65
0,4728,Greivis Vasquez,Maryland,ACC,32,84.8,111.7,30.7,49.7,55.02,3.9,10.3,35.3,18.2,138,161,0.857,151,320,0.472,67,186,0.36,1.0,2.9,31.8,Sr,6-Jun,21.0,5.77909,133.611,2.4,2010,465,all,91.6,1.87964446,63.0,109.0,88.0,211.0,0.578,0.4171,4.0,4.0,1.0,28.0,97.2737,92.9583,3.94793,211.734,9.25869,7.75068,1.50801,9.97327,34.3125,8.04126,1.932,1.1875,3.5312,4.7188,6.3438,1.7188,0.3438,20.0312,Pure PG,9.6179
1,7975,John Wall,Kentucky,SEC,37,83.9,108.7,26.9,50.3,56.18,2.7,10.1,34.8,24.2,175,232,0.754,165,324,0.509,37,114,0.325,1.5,2.9,53.0,Fr,4-Jun,11.0,4.60411,123.007,2.2,2010,12637,all,99.8,1.61745724,116.0,182.0,40.0,127.0,0.6374,0.315,33.0,36.0,0.9167,1.0,93.3072,88.793,4.50963,247.229,7.09124,4.39997,2.69126,7.72509,34.8108,4.82966,2.89544,0.8108,3.4865,4.2973,6.5135,1.7838,0.5135,16.6486,Pure PG,4.98101
2,8241,Peyton Siva,Louisville,BE,31,26.1,95.2,23.0,54.0,55.83,1.6,6.9,29.4,33.6,25,41,0.61,19,41,0.463,19,47,0.404,0.6,5.3,46.6,Fr,Jun-00,3.0,0.746888,103.911,7.6,2010,13289,all,93.4,1.21740011,18.0,28.0,1.0,13.0,0.6429,0.0769,2.0,2.0,1.0,56.0,98.128,91.7632,1.33713,72.5913,1.68834,0.776388,0.911956,1.80517,11.2258,-1.21766,3.02283,0.1613,0.6774,0.8387,1.8065,1.0,0.0645,3.871,Pure PG,7.8834
3,11419,Peyton Siva,Louisville,BE,35,68.4,102.3,23.4,49.4,53.96,1.4,11.0,34.0,26.0,94,138,0.681,89,164,0.543,25,92,0.272,0.7,4.2,53.9,So,11-May,3.0,2.50422,111.296,3.9,2011,13289,all,93.4,1.80198906,76.0,126.0,13.0,38.0,0.6032,0.3421,15.0,17.0,0.8824,56.0,92.2133,87.0274,3.7892,198.088,4.40656,1.61384,2.79273,4.68305,27.8571,0.717845,3.96521,0.3429,2.7714,3.1143,5.2,1.9714,0.1714,9.9143,Pure PG,5.54351
4,11833,Darius Morris,Michigan,B10,34,86.4,108.5,29.5,50.6,54.36,3.3,10.9,43.9,18.7,106,148,0.716,178,335,0.531,15,61,0.246,0.1,1.9,37.4,So,4-Jun,4.0,5.1612,127.989,2.5,2011,14768,all,80.2,2.20790428,169.0,243.0,140.0,302.0,0.6955,0.4636,32.0,35.0,0.9143,41.0,101.434,93.5764,3.99721,188.912,6.6565,4.94817,1.70833,5.80448,34.7941,4.28365,1.52083,0.9118,3.1176,4.0294,6.5588,1.0,0.0294,14.9118,Pure PG,3.32983
5,12411,Kendall Marshall,North Carolina,ACC,37,61.4,100.9,18.5,47.3,51.83,0.7,7.7,40.7,29.8,58,84,0.69,56,129,0.434,20,53,0.377,0.3,2.4,46.2,Fr,3-Jun,5.0,1.62969,104.045,2.2,2011,16380,all,94.8,2.49997982,18.0,52.0,38.0,77.0,0.3462,0.4935,0.0,0.0,,13.0,97.2878,90.5768,3.0986,167.894,2.5111,1.73117,0.779933,4.5333,24.6486,2.04741,2.48588,0.1622,1.9189,2.0811,6.2162,1.0811,0.0811,6.2162,Pure PG,3.17126
6,13287,Russ Smith,Louisville,BE,17,6.7,83.5,28.8,42.7,43.8,1.2,6.9,28.0,27.6,3,5,0.6,7,24,0.292,7,17,0.412,1.1,8.0,12.2,Fr,Jun-00,24.0,0.200182,95.3682,7.1,2011,18729,all,43.8,1.07689288,6.0,14.0,1.0,10.0,0.4286,0.1,0.0,0.0,,47.0,85.482,81.1896,0.876894,24.553,1.35853,-2.65464,4.01317,0.584048,5.6471,-4.58054,5.16459,0.0588,0.3529,0.4118,0.8235,0.7647,0.0588,2.2353,Pure PG,10.4575
7,14912,Peyton Siva,Louisville,BE,38,74.3,92.1,22.0,43.0,48.53,1.8,9.1,35.5,29.4,88,119,0.739,104,232,0.448,17,69,0.246,0.4,3.2,39.5,Jr,Jun-00,3.0,1.62959,99.3781,3.8,2012,13289,all,93.4,1.61066304,77.0,131.0,27.0,101.0,0.5878,0.2673,9.0,10.0,0.9,56.0,91.7182,85.6164,4.41644,218.694,2.05945,-0.496329,2.55578,1.55783,31.6579,-1.33074,2.88856,0.5,2.6842,3.1842,5.5526,1.6842,0.1316,9.1316,Pure PG,3.39849
8,14970,Tyshawn Taylor,Kansas,B12,39,83.3,104.5,27.5,53.8,56.9,0.7,6.9,29.7,22.7,137,199,0.688,168,322,0.522,58,152,0.382,0.5,2.4,42.0,Sr,3-Jun,10.0,4.24976,121.123,2.4,2012,13567,all,87.2,1.34780267,88.0,145.0,78.0,171.0,0.6069,0.4561,15.0,15.0,1.0,41.0,96.1796,90.2504,4.17163,209.047,3.99496,3.42428,0.570678,6.03628,33.4103,4.50147,1.5348,0.2051,2.1282,2.3333,4.7692,1.3333,0.1538,16.5897,Pure PG,6.86816
9,15575,Kendall Marshall,North Carolina,ACC,36,77.9,113.3,17.1,52.9,55.8,0.5,7.3,45.1,27.2,55,79,0.696,77,146,0.527,28,79,0.354,0.5,2.0,35.1,So,4-Jun,5.0,3.24086,112.651,1.9,2012,16380,all,94.8,3.47519256,35.0,53.0,42.0,93.0,0.6604,0.4516,0.0,0.0,,13.0,96.8536,92.3192,3.89671,205.986,4.08958,4.03505,0.0545312,5.85357,33.0,3.6269,2.22666,0.1667,2.4444,2.6111,9.75,1.1944,0.1667,8.1389,Pure PG,3.63065
