,Unnamed: 0,player_name,team,conf,GP,Min_per,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,yr,ht,num,porpag,adjoe,pfr,year,pid,type,Rec Rank,ast/tov,rimmade,rimmade+rimmiss,midmade,midmade+midmiss,rimmade/(rimmade+rimmiss),midmade/(midmade+midmiss),dunksmade,dunksmiss+dunksmade,dunksmade/(dunksmade+dunksmiss),pick,drtg,adrtg,dporpag,stops,bpm,obpm,dbpm,gbpm,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,position,Unnamed: 65
0,4609,Charles Jenkins,Hofstra,CAA,33,91.5,109.4,28.1,49.8,55.28,3.2,10.1,24.9,17.7,167,208,0.803,170,375,0.453,62,153,0.405,1.5,2.8,39.4,Jr,3-Jun,22.0,4.69062,121.454,2.9,2010,57,all,,1.2476272,86.0,133.0,78.0,227.0,0.6466,0.3436,2.0,2.0,1.0,44.0,98.4249,97.5968,3.66979,216.649,4.67981,4.3521,0.32771,7.51246,37.0,5.93298,1.57948,1.1515,3.4545,4.6061,3.9697,1.8182,0.5455,21.0,Scoring PG,7.23054
1,5586,Jimmer Fredette,BYU,MWC,34,75.1,121.0,32.6,53.7,61.53,2.9,8.3,30.7,15.2,224,251,0.892,148,316,0.468,77,175,0.44,0.5,2.2,51.1,Jr,2-Jun,32.0,6.3002,143.225,1.4,2010,3137,all,54.4,1.7096844,78.0,120.0,70.0,196.0,0.65,0.3571,0.0,0.0,,10.0,97.4055,94.8385,3.39751,181.857,7.80668,8.15041,-0.343734,10.1152,31.1471,9.48092,0.63428,0.7353,2.3529,3.0882,4.6765,1.2059,0.1471,22.0882,Scoring PG,9.36719
2,5876,Armon Johnson,Nevada,WAC,33,86.4,103.9,26.4,50.8,53.24,2.7,7.7,29.8,20.8,79,115,0.687,193,360,0.536,17,70,0.243,0.9,1.4,26.7,Jr,3-Jun,23.0,3.38115,112.702,2.0,2010,4048,all,,1.63967181,84.0,126.0,109.0,234.0,0.6667,0.4658,7.0,9.0,0.7778,34.0,109.698,105.349,2.53685,173.207,0.275797,1.81237,-1.53657,0.913104,34.8182,2.51657,-1.60346,0.7879,2.5455,3.3333,5.5152,0.8485,0.3636,15.6364,Scoring PG,3.46048
3,5915,Norris Cole,Cleveland St.,Horz,31,87.7,103.6,28.2,46.4,52.24,1.6,8.9,30.0,16.6,129,162,0.796,137,306,0.448,37,109,0.339,0.3,2.9,39.0,Jr,2-Jun,30.0,3.85187,116.162,2.8,2010,4149,all,,1.65063122,69.0,107.0,68.0,199.0,0.6449,0.3417,4.0,5.0,0.8,28.0,105.997,102.897,2.87249,172.528,1.44642,2.86158,-1.41516,2.6717,35.0645,3.35441,-0.682712,0.4516,2.3871,2.8387,4.4194,1.6452,0.0968,16.5806,Scoring PG,6.13369
4,6386,Shelvin Mack,Butler,Horz,38,76.9,109.0,24.9,53.9,56.45,2.2,13.0,25.1,16.9,80,109,0.734,120,239,0.502,72,184,0.391,0.5,2.8,25.8,So,3-Jun,1.0,3.72817,119.425,2.4,2010,6698,all,41.4,1.45572168,67.0,107.0,49.0,123.0,0.6262,0.3984,0.0,0.0,,34.0,92.5344,88.2029,4.08919,214.017,7.45849,4.31592,3.14258,7.89362,30.8684,4.76097,3.13265,0.5263,3.2105,3.7368,3.0263,1.3684,0.1316,14.1053,Scoring PG,9.78418
5,6474,Iman Shumpert,Georgia Tech,ACC,29,63.3,94.0,21.4,44.5,48.24,3.5,9.0,24.3,27.0,54,75,0.72,63,155,0.406,37,111,0.333,0.6,3.5,28.2,So,5-Jun,1.0,1.88915,102.264,3.1,2010,7189,all,95.6,1.27473784,34.0,58.0,29.0,97.0,0.5862,0.299,10.0,11.0,0.9091,17.0,94.1602,87.57,4.14162,175.644,4.66335,1.9912,2.67216,3.5659,30.6552,0.801949,2.76395,0.931,2.7241,3.6552,4.0,1.8966,0.1724,10.0345,Scoring PG,7.03017
6,6524,Willie Warren,Oklahoma,B12,21,53.6,101.7,29.6,50.0,56.73,2.4,9.6,28.2,23.6,101,127,0.795,76,145,0.524,30,97,0.309,0.2,1.8,52.5,So,4-Jun,13.0,3.65144,117.88,2.9,2010,7409,all,98.0,1.07499674,49.0,84.0,27.0,61.0,0.5833,0.4426,1.0,2.0,0.5,54.0,109.865,105.003,2.35241,105.325,1.96716,3.238,-1.27084,2.67541,31.9048,3.15863,-0.483223,0.6667,2.619,3.2857,4.0952,1.0,0.0476,16.3333,Scoring PG,8.4897
7,6856,Kemba Walker,Connecticut,BE,34,88.0,106.2,23.7,45.4,52.54,3.1,9.5,29.2,20.2,155,202,0.767,114,265,0.43,38,112,0.339,1.2,3.4,53.6,So,1-Jun,15.0,3.99084,117.173,2.0,2010,9075,all,97.8,1.73734473,65.0,112.0,44.0,139.0,0.5804,0.3165,1.0,2.0,0.5,9.0,97.6606,91.2576,4.30595,225.079,5.87157,3.95604,1.91554,6.14797,35.2059,3.36942,2.77856,0.9412,3.3235,4.2647,5.0588,2.0588,0.4412,14.6176,Scoring PG,5.41972
8,7048,Andy Rautins,Syracuse,BE,35,81.2,115.1,18.7,60.3,63.19,2.0,8.8,23.9,25.6,66,81,0.815,32,56,0.571,98,241,0.407,0.8,3.4,27.3,Sr,4-Jun,1.0,3.64212,116.814,2.7,2010,10094,all,,1.74489297,14.0,24.0,16.0,30.0,0.5833,0.5333,1.0,1.0,1.0,38.0,95.4256,89.4601,4.17588,216.229,7.61244,6.0016,1.61084,7.32451,32.4857,4.40021,2.9243,0.5143,2.8571,3.3714,4.8857,1.9714,0.2286,12.1143,Scoring PG,11.7843
9,7741,Nate Wolters,South Dakota St.,Sum,28,61.5,105.5,24.1,44.3,54.21,3.2,13.4,24.5,20.2,107,127,0.843,64,157,0.408,19,52,0.365,1.1,2.9,60.8,Fr,3-Jun,3.0,2.10161,109.123,3.0,2010,12007,all,,1.37930873,43.0,98.0,17.0,52.0,0.4388,0.3269,0.0,0.0,,38.0,104.555,106.012,1.74941,134.232,1.74022,1.80538,-0.0651649,2.43734,24.8214,2.26764,0.169697,0.7143,2.7857,3.5,2.8571,1.2143,0.2857,10.4286,Scoring PG,4.36158
10,8373,Tyshawn Taylor,Kansas,B12,36,57.3,107.5,18.7,48.5,53.1,2.4,8.4,24.1,22.4,63,88,0.716,70,147,0.476,19,56,0.339,0.8,3.2,43.3,So,3-Jun,10.0,2.05467,110.334,3.9,2010,13567,all,87.2,1.98365206,50.0,84.0,20.0,63.0,0.5952,0.3175,9.0,9.0,1.0,41.0,96.4159,89.8801,2.92392,143.779,5.36163,3.36138,2.00025,4.63926,23.0833,1.61378,3.02548,0.4722,1.9444,2.4167,3.3611,1.2778,0.1944,7.2222,Scoring PG,3.80842
11,8860,Darius Morris,Michigan,B10,31,60.1,87.5,15.3,41.7,45.3,2.2,7.4,21.3,27.0,28,45,0.622,40,83,0.482,7,38,0.184,0.8,1.7,37.2,Fr,4-Jun,4.0,0.0644045,85.2771,3.2,2010,14768,all,80.2,1.64582786,20.0,30.0,20.0,53.0,0.6667,0.3774,3.0,3.0,1.0,41.0,102.971,97.0787,2.45387,106.303,-2.15612,-2.8207,0.664571,-1.78784,24.2258,-3.08534,1.29749,0.4516,1.3871,1.8387,2.5484,0.6452,0.1613,4.1613,Scoring PG,3.27226
12,9291,Charles Jenkins,Hofstra,CAA,32,92.4,123.2,28.7,57.7,62.93,1.6,8.6,31.3,12.8,179,217,0.825,176,317,0.555,63,152,0.414,1.8,2.7,46.3,Sr,3-Jun,22.0,6.65016,136.761,2.1,2011,57,all,,2.11262838,93.0,139.0,83.0,178.0,0.6691,0.4663,0.0,0.0,,44.0,107.807,106.346,2.6405,192.184,7.09443,8.32456,-1.23013,9.82813,37.4062,8.91582,0.912311,0.5,2.7188,3.2188,4.6875,1.6562,0.625,22.5,Scoring PG,7.86487
13,9313,Nolan Smith,Duke,ACC,37,85.1,114.0,30.8,50.8,56.4,4.1,10.1,30.3,17.3,187,230,0.813,203,405,0.501,57,163,0.35,0.2,2.0,40.5,Sr,2-Jun,2.0,6.14746,136.992,2.3,2011,198,all,95.8,1.60168696,121.0,180.0,82.0,225.0,0.6722,0.3644,19.0,21.0,0.9048,21.0,94.9421,90.2798,4.32707,221.453,7.92525,6.5307,1.39455,9.04699,34.027,7.42587,1.62112,1.1892,3.2973,4.4865,5.1081,1.2162,0.0811,20.6486,Scoring PG,7.34459
14,9779,Andrew Goudelock,College of Charleston,SC,37,88.0,113.6,33.1,54.9,57.5,2.3,9.9,26.4,16.3,110,134,0.821,187,377,0.496,131,322,0.407,0.5,1.5,19.2,Sr,2-Jun,3.0,5.77155,132.194,2.0,2011,3120,all,,1.31932084,41.0,68.0,146.0,309.0,0.6029,0.4725,7.0,8.0,0.875,46.0,104.713,104.361,2.75546,204.986,3.82596,5.92043,-2.09447,6.30415,35.1892,7.66592,-1.36177,0.6757,3.1892,3.8649,4.2432,0.8919,0.1892,23.7027,Scoring PG,14.6051
