,Unnamed: 0,player_name,team,conf,GP,Min_per,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,yr,ht,num,porpag,adjoe,pfr,year,pid,type,Rec Rank,ast/tov,rimmade,rimmade+rimmiss,midmade,midmade+midmiss,rimmade/(rimmade+rimmiss),midmade/(midmade+midmiss),dunksmade,dunksmiss+dunksmade,dunksmade/(dunksmade+dunksmiss),pick,drtg,adrtg,dporpag,stops,bpm,obpm,dbpm,gbpm,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,position,Unnamed: 65
0,5563,Justin Harper,Richmond,A10,35,61.1,108.9,22.5,55.5,57.22,8.0,16.8,9.0,15.0,49,72,0.681,98,168,0.583,42,122,0.344,3.8,1.9,24.8,Jr,10-Jun,32.0,2.64111,115.638,3.8,2010,3094,all,,0.72918186,65.0,91.0,33.0,77.0,0.7143,0.4286,10.0,11.0,0.9091,32.0,92.7292,89.8616,3.10855,171.476,5.1067,2.99193,2.11477,4.89833,24.9714,3.59247,1.30586,1.6286,3.7714,5.4,1.0,0.7714,0.8857,10.6,Stretch 4,8.56963
1,6384,Gordon Hayward,Butler,Horz,37,81.2,113.3,24.4,52.7,60.13,7.6,23.4,12.1,17.5,179,216,0.829,126,213,0.592,47,160,0.294,2.8,2.0,57.9,So,9-Jun,20.0,4.5571,123.856,2.5,2010,6696,all,,0.72942144,89.0,128.0,34.0,77.0,0.6953,0.4416,19.0,20.0,0.95,9.0,88.9765,84.8713,4.82144,258.749,8.61433,3.93472,4.67961,8.95662,33.4865,5.68736,3.26926,1.9459,6.2973,8.2432,1.6757,1.0811,0.8108,15.4595,Stretch 4,8.05743
2,9026,Robbie Hummel,Purdue,B10,27,58.1,123.3,23.4,52.9,59.75,6.3,20.5,15.2,8.7,110,122,0.902,92,178,0.517,43,118,0.364,3.6,2.1,41.2,Jr,8-Jun,4.0,5.15429,133.593,2.8,2010,21042,all,88.4,2.00009656,16.0,23.0,76.0,155.0,0.6957,0.4903,1.0,1.0,1.0,58.0,88.1727,83.6613,4.49855,178.647,11.9577,6.96378,4.99392,12.7595,30.2593,8.71893,4.04056,1.6296,5.2963,6.9259,2.0741,1.0741,1.037,15.6667,Stretch 4,8.62759
3,9251,Wes Johnson,Syracuse,BE,35,87.4,116.1,21.1,56.4,59.99,7.6,18.3,11.1,17.5,112,145,0.772,156,289,0.54,51,123,0.415,5.7,2.7,35.2,Jr,7-Jun,4.0,4.52427,121.787,2.4,2010,49721,all,32.2,0.96296935,93.0,129.0,48.0,135.0,0.7209,0.3556,37.0,41.0,0.9024,4.0,89.9009,84.2807,5.12392,286.864,9.796,4.70923,5.08678,9.19399,34.9714,5.47377,3.72022,2.1429,6.4,8.5429,2.2286,1.6571,1.8286,16.4857,Stretch 4,5.58774
4,9640,Chandler Parsons,Florida,SEC,36,81.1,110.3,20.1,54.6,55.14,7.3,19.3,21.6,20.3,54,97,0.557,112,206,0.544,43,117,0.368,1.3,1.7,30.0,Sr,10-Jun,25.0,3.5965,116.025,2.2,2011,2243,all,94.4,1.67902226,89.0,121.0,23.0,85.0,0.7355,0.2706,22.0,25.0,0.88,38.0,95.262,90.6999,4.1897,232.775,8.60912,5.0632,3.54592,7.65528,34.1389,4.95164,2.70364,2.0556,5.6944,7.75,3.7778,0.9444,0.4167,11.3056,Stretch 4,5.90179
5,9767,Justin Harper,Richmond,A10,37,79.1,121.3,24.7,61.8,64.17,6.5,18.6,8.9,12.1,94,118,0.797,168,287,0.585,77,172,0.448,4.0,1.2,25.7,Sr,10-Jun,32.0,5.06887,131.119,2.8,2011,3094,all,,0.76788899,106.0,136.0,62.0,151.0,0.7794,0.4106,15.0,17.0,0.8824,32.0,95.0436,92.7825,3.81102,221.09,7.16881,5.51562,1.65319,9.26679,31.8378,8.10676,1.16003,1.6757,5.2432,6.9189,1.1622,0.6216,1.2162,17.8649,Stretch 4,9.19495
6,10279,Chris Singleton,Florida St.,ACC,28,59.6,102.7,23.6,49.5,53.06,8.2,17.0,8.9,18.2,84,126,0.667,89,191,0.466,35,95,0.368,5.9,3.9,44.1,Jr,9-Jun,31.0,2.61148,110.93,4.4,2011,7190,all,96.8,0.54098959,47.0,79.0,42.0,111.0,0.5949,0.3784,19.0,22.0,0.8636,18.0,83.4244,80.083,4.70452,205.469,8.62793,2.09894,6.52899,8.26476,29.0714,2.98325,5.28151,2.0714,4.75,6.8214,1.1786,1.9643,1.4643,13.1071,Stretch 4,6.70093
7,10484,Draymond Green,Michigan St.,B10,33,74.2,107.7,25.8,47.8,51.92,9.6,23.4,31.1,18.0,96,138,0.696,107,238,0.45,36,99,0.364,4.1,3.5,40.9,Jr,7-Jun,23.0,3.93539,123.161,4.5,2011,8827,all,86.4,1.80264884,60.0,102.0,47.0,136.0,0.5882,0.3456,6.0,6.0,1.0,35.0,91.5449,84.4545,4.37171,236.783,12.4099,5.84921,6.5607,10.9734,30.0,5.85927,5.11413,2.4848,6.1212,8.6061,4.1515,1.7273,1.1515,12.6667,Stretch 4,6.04172
8,10921,Tyler Honeycutt,UCLA,P10,33,83.9,97.9,21.7,48.3,51.93,5.3,17.8,16.8,23.6,78,106,0.736,89,203,0.438,55,152,0.362,5.6,1.5,29.9,So,8-Jun,23.0,2.33011,104.348,1.8,2011,11221,all,94.0,0.930007,57.0,98.0,32.0,105.0,0.5816,0.3048,17.0,20.0,0.85,35.0,95.3301,90.2386,4.40193,234.231,6.56028,1.36769,5.19259,6.53801,34.9697,3.25031,3.2877,1.5152,5.697,7.2121,2.8182,0.8788,2.0606,12.7576,Stretch 4,7.78806
9,10958,Jordan Hamilton,Texas,B12,36,80.0,113.6,27.1,52.2,55.0,7.0,18.5,14.6,14.3,95,122,0.779,153,318,0.481,90,234,0.385,1.8,1.6,22.1,So,7-Jun,3.0,4.90635,129.112,2.2,2011,11388,all,98.8,0.98700263,67.0,93.0,86.0,225.0,0.7204,0.3822,13.0,14.0,0.9286,26.0,89.7318,85.4175,4.60922,237.627,8.99992,6.17444,2.82548,10.7346,32.2222,8.31412,2.42047,2.0,5.6667,7.6667,2.1111,0.8611,0.6389,18.6389,Stretch 4,11.7651
