,Unnamed: 0,player_name,team,conf,GP,Min_per,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,yr,ht,num,porpag,adjoe,pfr,year,pid,type,Rec Rank,ast/tov,rimmade,rimmade+rimmiss,midmade,midmade+midmiss,rimmade/(rimmade+rimmiss),midmade/(midmade+midmiss),dunksmade,dunksmiss+dunksmade,dunksmade/(dunksmade+dunksmiss),pick,drtg,adrtg,dporpag,stops,bpm,obpm,dbpm,gbpm,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,position,Unnamed: 65
0,4649,Kyle Singler,Duke,ACC,40,89.9,117.4,24.0,49.2,54.49,7.0,14.6,13.4,13.8,166,208,0.798,143,337,0.424,85,213,0.399,2.2,1.7,37.8,Jr,8-Jun,12.0,5.88413,131.673,2.4,2010,197,all,99.0,1.21518991,67.0,101.0,76.0,236.0,0.6634,0.322,4.0,5.0,0.8,33.0,91.8459,86.7343,4.96123,269.529,9.43424,6.00785,3.42639,9.9442,35.95,7.24822,2.69598,2.25,4.75,7.0,2.4,1.025,0.8,17.675,Wing F,8.90271
1,4961,Stanley Robinson,Connecticut,BE,34,85.6,107.8,20.4,55.9,57.03,8.9,14.6,6.6,18.8,61,97,0.629,176,308,0.571,27,79,0.342,3.2,1.5,25.1,Sr,9-Jun,21.0,3.5357,114.267,1.8,2010,1137,all,96.6,0.4415596,114.0,144.0,59.0,156.0,0.7917,0.3782,66.0,72.0,0.9167,59.0,97.9225,91.5023,4.15816,216.486,4.35656,2.40491,1.95164,5.11332,34.2353,3.68964,1.42368,2.6765,4.9706,7.6471,1.0,0.8824,1.2059,14.5294,Wing F,3.93002
2,4989,Lazar Hayward,Marquette,BE,34,79.5,108.1,29.6,49.5,53.63,8.2,21.3,11.2,12.9,107,127,0.843,157,328,0.479,65,186,0.349,1.7,3.6,24.7,Sr,6-Jun,32.0,4.54967,125.739,4.2,2010,1257,all,85.2,0.77610879,92.0,138.0,65.0,190.0,0.6667,0.3421,10.0,10.0,1.0,30.0,92.9318,87.7798,4.27275,240.072,6.82767,4.14841,2.67926,6.648,32.2647,4.82618,1.82182,2.1176,5.4118,7.5294,1.5294,1.8824,0.5294,18.1176,Wing F,10.5698
3,5045,Landry Fields,Stanford,P10,32,90.3,110.3,31.0,51.9,56.04,7.9,20.6,19.6,13.6,179,257,0.696,219,420,0.521,29,86,0.337,2.3,2.6,50.8,Sr,7-Jun,2.0,5.76639,130.526,2.2,2010,1416,all,51.2,1.07224916,126.0,186.0,93.0,233.0,0.6774,0.3991,27.0,32.0,0.8438,39.0,97.9116,93.4292,4.14431,252.206,8.93532,5.67647,3.25885,10.602,36.25,8.16358,2.43847,2.5312,6.2188,8.75,2.7812,1.5938,0.7812,22.0,Wing F,4.37195
4,5218,Evan Turner,Ohio St.,B10,31,74.4,108.9,34.5,54.0,58.15,7.4,23.5,37.5,21.7,138,182,0.758,217,402,0.54,20,55,0.364,2.9,3.0,39.8,Jr,7-Jun,21.0,6.2427,135.245,3.1,2010,1929,all,90.8,1.36028349,102.0,130.0,106.0,258.0,0.7846,0.4109,18.0,19.0,0.9474,2.0,88.4064,83.6938,5.29392,247.062,11.1906,5.66679,5.52382,11.2167,35.7419,6.94325,4.27342,2.0,7.1613,9.1613,5.9677,1.7419,0.9032,20.3871,Wing F,3.06818
5,5317,Chandler Parsons,Florida,SEC,34,76.7,114.5,20.8,55.9,58.7,8.2,16.9,16.3,18.2,100,151,0.662,103,180,0.572,38,106,0.358,0.5,2.2,52.8,Jr,9-Jun,25.0,3.8192,120.401,2.7,2010,2243,all,94.4,1.31340713,89.0,129.0,14.0,51.0,0.6899,0.2745,20.0,21.0,0.9524,38.0,97.6814,93.3612,3.52636,200.768,7.44858,5.56415,1.88443,7.13323,31.0,5.27824,1.85499,2.2647,4.5882,6.8529,2.5882,1.1471,0.1471,12.3529,Wing F,5.99404
6,5371,Trevor Booker,Clemson,ACC,32,76.9,112.0,24.7,53.3,54.95,10.1,20.4,17.4,14.4,101,171,0.591,179,327,0.547,9,34,0.265,4.6,2.5,47.4,Sr,7-Jun,35.0,4.35402,125.31,2.6,2010,2429,all,49.8,1.30642577,139.0,192.0,40.0,135.0,0.724,0.2963,33.0,37.0,0.8919,23.0,88.4183,84.658,4.46515,225.348,9.79521,4.77296,5.02225,10.0595,30.75,6.40153,3.65793,2.7812,5.5938,8.375,2.5312,1.3438,1.4062,15.1875,Wing F,1.94973
7,5817,Quincy Pondexter,Washington,P10,36,80.4,123.0,25.2,54.7,60.82,10.3,15.0,11.2,12.8,187,226,0.827,227,413,0.55,18,51,0.353,1.8,2.2,48.7,Sr,6-Jun,20.0,5.83159,136.751,3.1,2010,3829,all,94.0,0.92646512,113.0,143.0,114.0,270.0,0.7902,0.4222,34.0,35.0,0.9714,26.0,95.2815,90.3543,4.03499,237.307,9.18086,6.61291,2.56795,9.62658,32.2778,7.5522,2.07438,2.9722,4.3889,7.3611,1.75,1.2778,0.5833,19.3056,Wing F,2.41655
8,6241,Paul George,Fresno St.,WAC,28,72.6,105.6,27.3,51.0,57.22,6.8,18.6,22.6,20.8,110,122,0.902,92,188,0.489,58,163,0.356,3.0,3.9,34.8,So,8-Jun,24.0,3.6053,115.82,3.5,2010,5903,all,61.6,0.96627442,70.0,106.0,22.0,82.0,0.6604,0.2683,18.0,22.0,0.8182,10.0,94.6435,92.7156,3.89014,210.186,6.68486,3.41633,3.26852,6.74572,33.1786,4.41774,2.32799,1.9286,5.2857,7.2143,3.0714,2.1429,0.8571,16.7143,Wing F,10.3973
9,6280,Luke Babbitt,Nevada,WAC,33,93.2,120.4,26.0,54.0,61.23,6.5,19.1,10.9,13.9,195,212,0.92,203,393,0.517,42,100,0.42,1.9,1.5,43.0,So,9-Jun,5.0,5.92246,130.308,2.7,2010,6121,all,96.6,0.88608553,72.0,115.0,131.0,278.0,0.6261,0.4712,12.0,12.0,1.0,16.0,103.76,99.6456,3.47298,246.614,4.8202,4.59114,0.229052,7.07878,37.5455,6.51045,0.568331,2.0606,6.8182,8.8788,2.1212,1.0,0.7879,22.0303,Wing F,4.58286
10,6475,Chris Singleton,Florida St.,ACC,32,78.2,89.9,21.6,47.4,48.14,7.9,16.9,14.1,25.9,57,115,0.496,82,166,0.494,35,118,0.297,5.4,4.2,40.5,So,9-Jun,31.0,1.2055,95.6097,3.8,2010,7190,all,96.8,0.72916667,60.0,100.0,22.0,66.0,0.6,0.3333,20.0,25.0,0.8,18.0,82.6014,78.5456,5.20623,251.621,8.16144,0.697551,7.46389,6.47134,31.4062,0.855522,5.61582,2.0625,4.9062,6.9688,2.1875,2.2188,1.5,10.1875,Wing F,6.88621
11,6805,Marcus Morris,Kansas,B12,36,61.3,121.3,22.6,59.0,61.0,12.8,14.0,8.1,13.6,99,150,0.66,162,273,0.593,12,32,0.375,1.3,2.2,49.2,So,8-Jun,22.0,3.96775,131.13,4.2,2010,8822,all,77.6,0.77086925,105.0,147.0,57.0,126.0,0.7143,0.4524,18.0,20.0,0.9,14.0,94.7915,88.3658,3.27382,165.701,7.69421,6.2193,1.4749,7.47295,24.6944,5.83818,1.63478,2.6667,3.4444,6.1111,1.0278,0.9444,0.3333,12.75,Wing F,2.09981
12,6967,Devin Ebanks,West Virginia,BE,34,75.1,108.5,20.6,46.2,52.69,9.5,18.0,14.7,19.4,117,152,0.77,141,285,0.495,3,30,0.1,2.2,1.9,48.3,So,9-Jun,3.0,3.70978,116.389,1.9,2010,9704,all,91.2,1.10666851,90.0,136.0,51.0,149.0,0.6618,0.3423,10.0,10.0,1.0,43.0,95.485,87.1729,4.57632,222.548,7.22896,3.22495,4.00401,6.42393,34.1471,3.78181,2.64213,2.9118,5.1765,8.0882,2.4412,1.0588,0.6765,12.0,Wing F,1.60293
13,7463,Tyler Honeycutt,UCLA,P10,26,55.3,97.6,19.0,53.2,55.04,9.5,19.9,19.2,28.1,39,65,0.6,59,110,0.536,10,29,0.345,4.8,3.3,46.8,Fr,7-Jun,23.0,1.61427,101.489,3.3,2010,11221,all,94.0,1.11109739,47.0,79.0,12.0,31.0,0.5949,0.3871,15.0,15.0,1.0,35.0,97.0546,91.3074,3.34533,159.333,6.82475,1.59541,5.22934,5.69689,27.6538,2.03033,3.66656,2.0385,4.4615,6.5,2.6923,1.5,1.1923,7.1923,Wing F,2.46367
14,7507,Darington Hobson,New Mexico,MWC,35,83.3,105.9,27.7,48.4,52.01,7.0,24.6,29.3,18.7,130,199,0.653,154,331,0.465,39,108,0.361,1.6,2.2,45.3,Jr,7-Jun,1.0,4.01051,119.178,2.3,2010,11344,all,71.0,1.53846676,117.0,187.0,37.0,143.0,0.6257,0.2587,16.0,19.0,0.8421,37.0,94.7402,91.7261,4.02274,255.216,7.6425,4.40269,3.23981,7.88142,33.5714,5.63049,2.25093,2.1429,7.1429,9.2857,4.5714,1.2571,0.4286,15.8571,Wing F,5.37777
15,7702,Kelly Olynyk,Gonzaga,WCC,33,30.2,108.1,17.8,52.6,54.08,9.5,15.6,11.0,16.7,25,43,0.581,45,80,0.563,4,17,0.235,1.3,2.3,44.3,Fr,11-Jun,13.0,0.912139,106.274,6.5,2010,11882,all,,1.1428347,36.0,47.0,9.0,32.0,0.766,0.2813,5.0,5.0,1.0,13.0,95.6263,92.1057,1.44132,82.5641,4.11998,2.12304,1.99695,2.43586,12.2121,0.337907,2.09795,0.9394,1.7879,2.7273,0.7273,0.4848,0.1515,3.8485,Wing F,2.40822
16,7973,Khris Middleton,Texas A&M,B12,33,52.0,107.8,18.9,51.1,55.43,6.6,12.7,10.4,18.2,54,72,0.75,45,87,0.517,33,98,0.337,1.4,2.5,38.9,Fr,7-Jun,22.0,1.92285,111.169,4.5,2010,12631,all,79.8,0.85001237,30.0,44.0,15.0,43.0,0.6818,0.3488,2.0,2.0,1.0,39.0,95.6938,88.9265,2.70989,131.273,7.10893,3.78742,3.32151,5.45136,20.9394,2.41804,3.03332,1.2121,2.3333,3.5455,1.0303,0.8788,0.2727,7.3636,Wing F,8.41877
17,9014,Romero Osby,Mississippi St.,SEC,35,31.4,101.2,19.5,52.9,54.88,8.5,12.0,9.7,22.3,26,41,0.634,39,80,0.487,16,39,0.41,2.5,1.0,34.5,So,8-Jun,5.0,0.874943,104.023,2.9,2010,20669,all,90.2,0.64710725,33.0,50.0,6.0,30.0,0.66,0.2,13.0,16.0,0.8125,51.0,97.8156,94.0225,1.45611,76.9086,1.23464,0.322636,0.912005,1.34105,13.0571,0.765362,0.575687,0.9714,1.5714,2.5429,0.6286,0.2286,0.3429,4.3429,Wing F,4.99867
18,9025,Arnett Moultrie,UTEP,CUSA,33,71.5,96.0,20.1,49.1,51.52,8.1,17.4,8.1,20.6,54,83,0.651,122,236,0.517,9,40,0.225,3.2,2.7,30.1,So,11-Jun,1.0,1.30626,97.6606,3.0,2010,21025,all,,0.5857062,59.0,80.0,63.0,156.0,0.7375,0.4038,22.0,23.0,0.9565,27.0,90.1595,87.7925,3.86293,205.088,4.08582,-0.501364,4.58718,2.75477,28.9394,0.209418,2.54535,1.9697,4.697,6.6667,1.2424,1.3636,0.8182,9.8485,Wing F,2.31815
19,9312,Kyle Singler,Duke,ACC,37,86.9,112.3,23.5,49.1,53.64,8.0,13.3,8.8,13.2,125,155,0.806,157,316,0.497,62,193,0.321,0.8,1.5,30.5,Sr,8-Jun,12.0,4.68934,123.808,3.0,2011,197,all,99.0,0.8571278,80.0,113.0,77.0,203.0,0.708,0.3793,4.0,4.0,1.0,33.0,94.0388,89.4209,4.52346,235.792,5.95265,4.57615,1.3765,5.3525,34.7568,4.29121,1.06129,2.3784,4.4595,6.8378,1.6216,0.9189,0.3243,16.8919,Wing F,8.51622
