,Unnamed: 0,player_name,team,conf,GP,Min_per,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,yr,ht,num,porpag,adjoe,pfr,year,pid,type,Rec Rank,ast/tov,rimmade,rimmade+rimmiss,midmade,midmade+midmiss,rimmade/(rimmade+rimmiss),midmade/(midmade+midmiss),dunksmade,dunksmiss+dunksmade,dunksmade/(dunksmade+dunksmiss),pick,drtg,adrtg,dporpag,stops,bpm,obpm,dbpm,gbpm,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,position,Unnamed: 65
0,5216,Jon Diebler,Ohio St.,B10,37,92.4,124.3,14.7,60.9,64.04,0.9,7.9,7.1,11.5,69,79,0.873,32,62,0.516,116,276,0.42,0.3,1.9,23.4,Jr,6-Jun,33,4.54407,119.93,1.9,2010,1926,all,90.2,1.42112953,21.0,26.0,10.0,33.0,0.8077,0.303,3.0,3.0,1.0,51.0,98.9846,94.2513,4.1773,205.994,6.08389,5.42195,0.66194,5.13557,37.2162,3.84046,1.29511,0.2432,2.5135,2.7568,1.4595,1.1351,0.0811,13.0,Wing G,12.0811
1,5486,James Anderson,Oklahoma St.,B12,33,84.8,117.5,30.7,53.2,59.61,6.7,12.9,16.5,13.1,209,258,0.81,152,277,0.549,74,217,0.341,2.0,2.4,52.2,Jr,6-Jun,23,6.49061,139.629,3.1,2010,2812,all,96.0,1.02563887,117.0,184.0,35.0,93.0,0.6359,0.3763,22.0,24.0,0.9167,20.0,98.1485,93.2981,3.9099,217.438,10.434,8.45581,1.97822,11.3054,34.0606,9.4241,1.88125,1.9394,3.8788,5.8182,2.4242,1.3939,0.6061,22.2727,Wing G,11.2083
2,5554,Da'Sean Butler,West Virginia,BE,38,87.9,117.8,23.9,48.3,54.12,5.0,15.4,19.2,13.0,168,213,0.789,138,305,0.452,70,198,0.354,1.3,1.7,42.3,Sr,7-Jun,1,5.61835,130.557,2.4,2010,3069,all,78.8,1.74998598,57.0,90.0,81.0,217.0,0.6333,0.3733,5.0,5.0,1.0,42.0,97.556,90.296,4.41748,239.493,8.5762,6.33495,2.24126,8.952,35.7368,6.60763,2.34437,1.6053,4.6316,6.2368,3.1316,0.9737,0.3947,17.2105,Wing G,9.03879
3,5957,Kevin Murphy,Tennessee Tech,OVC,30,77.1,102.5,25.9,49.9,54.68,4.1,10.4,14.0,20.0,110,146,0.753,124,241,0.515,35,113,0.31,0.3,1.2,41.2,So,6-Jun,55,2.51416,108.003,3.0,2010,4375,all,41.6,0.71764368,54.0,68.0,70.0,173.0,0.7941,0.4046,8.0,9.0,0.8889,47.0,115.446,115.743,1.15144,139.874,-2.83567,1.04702,-3.88269,-1.40756,31.7333,2.05924,-3.4668,1.0667,2.8,3.8667,2.0333,0.6667,0.1,15.4333,Wing G,6.90383
4,6022,Kris Joseph,Syracuse,BE,35,69.5,111.4,19.4,50.8,56.97,7.7,13.8,10.2,18.3,116,155,0.748,118,218,0.541,9,41,0.22,1.6,2.8,59.8,So,7-Jun,32,2.86863,114.242,2.6,2010,4748,all,88.6,0.98391105,88.0,126.0,23.0,78.0,0.6984,0.2949,37.0,41.0,0.9024,51.0,93.7827,87.9199,3.72213,197.827,5.56212,3.23543,2.32669,5.04581,27.8,2.46167,2.58414,1.7143,3.8286,5.5429,1.7429,1.3714,0.4,10.8286,Wing G,2.34229
5,6060,Malcolm Lee,UCLA,P10,32,85.5,99.1,22.1,47.4,52.07,4.7,11.2,18.6,20.6,96,136,0.706,107,205,0.522,26,103,0.252,0.9,2.0,44.2,So,4-Jun,3,2.57693,106.209,2.7,2010,5037,all,93.6,1.20479602,71.0,93.0,36.0,112.0,0.7634,0.3214,9.0,10.0,0.9,43.0,105.575,100.466,3.09157,176.252,2.07532,1.9579,0.117424,1.10058,34.75,1.11034,-0.00975782,1.25,3.1562,4.4062,3.125,1.125,0.2812,12.125,Wing G,5.65954
6,6071,Terrico White,Mississippi,SEC,35,77.7,111.4,22.4,49.8,52.63,5.3,9.9,9.1,10.7,85,119,0.714,131,269,0.487,61,178,0.343,0.6,1.6,26.6,So,5-Jun,24,3.73323,119.131,2.2,2010,5069,all,75.6,1.10633701,51.0,85.0,80.0,183.0,0.6,0.4372,14.0,17.0,0.8235,36.0,102.774,98.5941,3.00917,177.929,3.25796,3.93788,-0.679919,3.9374,31.5143,4.12324,-0.185844,1.5714,3.0,4.5714,1.4857,0.8857,0.2,15.1429,Wing G,9.12164
7,6482,DeAndre Liggins,Kentucky,SEC,29,29.0,109.5,12.7,50.0,52.14,4.7,10.9,8.8,16.9,23,39,0.59,22,42,0.524,14,44,0.318,1.8,2.6,45.3,So,6-Jun,34,0.956114,102.616,3.8,2010,7228,all,93.4,1.41180485,15.0,22.0,7.0,20.0,0.6818,0.35,1.0,2.0,0.5,53.0,93.3238,88.2036,2.02197,85.3578,5.88268,2.61015,3.27253,4.91085,15.3448,0.767033,4.14382,0.6207,1.6552,2.2759,0.8276,0.6897,0.2759,3.7586,Wing G,5.56197
8,6483,Darius Miller,Kentucky,SEC,38,52.4,114.2,15.0,50.0,52.67,4.7,7.8,12.3,16.3,31,39,0.795,43,87,0.494,43,128,0.336,2.7,1.6,18.1,So,7-Jun,1,1.87023,110.23,3.6,2010,7229,all,83.8,1.65704041,12.0,19.0,30.0,65.0,0.6316,0.4615,3.0,4.0,0.75,46.0,96.7919,92.1621,2.49672,131.993,6.00156,3.54964,2.45192,4.89411,21.1579,2.23143,2.66268,0.8684,1.6316,2.5,1.5263,0.5789,0.5789,6.4737,Wing G,8.95474
9,6670,Travis Leslie,Georgia,SEC,31,73.3,107.7,28.3,49.6,54.44,13.0,14.5,20.1,19.1,114,155,0.735,163,336,0.485,6,11,0.545,3.4,2.6,44.7,So,4-Jun,1,4.19729,125.741,2.8,2010,8206,all,79.2,0.95119459,108.0,179.0,51.0,149.0,0.6034,0.3423,35.0,38.0,0.9211,47.0,101.662,97.0834,2.99471,176.44,7.33492,5.01957,2.31536,7.23749,29.4516,6.22092,1.01657,3.0968,3.7419,6.8387,2.5161,1.2903,0.9677,14.7742,Wing G,0.724972
