,player_name,team,conf,GP,Min_per,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,yr,ht,num,porpag,adjoe,pfr,year,pid,type,Rec Rank,ast/tov,rimmade,rimmade+rimmiss,midmade,midmade+midmiss,rimmade/(rimmade+rimmiss),midmade/(midmade+midmiss),dunksmade,dunksmiss+dunksmade,dunksmade/(dunksmade+dunksmiss),pick,drtg,adrtg,dporpag,stops,bpm,obpm,dbpm,gbpm,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,position,Unnamed: 65
4598,Brett Gifford,Albany,AE,30,39.4,79.3,10.1,46.8,46.77,4.4,18.3,7.2,34.5,4,9,0.444,29,61,0.475,0,1,0.0,5.4,1.4,14.5,Sr,11-Jun,54,-1.06343,66.2557,5.0,2010,37,all,,0.62066827,16.0,21.0,13.0,40.0,0.7619,0.325,0.0,0.0,,,102.55,105.065,1.24882,94.1405,-3.04035,-4.88209,1.84174,-4.18777,16.9333,-5.2187,1.03093,0.6333,2.6667,3.3,0.6,0.4,0.8333,2.0667,C,0.124438
4611,Greg Washington,Hofstra,CAA,32,59.9,97.1,16.0,44.1,47.03,9.9,15.9,5.9,18.9,32,45,0.711,90,203,0.443,0,1,0.0,11.6,1.4,22.1,Jr,10-Jun,32,0.643258,92.0067,5.3,2010,61,all,,0.57142857,35.0,49.0,51.0,143.0,0.7143,0.3566,14.0,18.0,0.7778,,93.634,92.9977,2.87307,173.162,3.9062,-2.12815,6.03435,1.26474,25.0,-1.73471,2.99945,2.4062,3.6875,6.0938,0.75,0.625,2.8125,6.625,C,0.0721894
4613,Evan Neisler,Drexel,CAA,31,44.8,98.7,14.7,60.9,63.56,10.1,17.1,1.5,30.9,36,52,0.692,53,87,0.609,0,0,0.0,2.5,1.3,59.8,Sr,8-Jun,33,0.430663,91.2112,6.1,2010,72,all,,0.09299978,44.0,64.0,9.0,23.0,0.6875,0.3913,15.0,15.0,1.0,,96.857,95.1413,2.01404,106.107,-1.37984,-2.82713,1.44729,-1.80437,18.5806,-3.01098,1.20661,1.7419,2.7419,4.4839,0.129,0.3871,0.4516,4.5806,C,0.0
4615,Otis Polk,Bowling Green,MAC,29,70.2,99.9,22.3,50.4,52.85,14.8,15.8,6.7,20.1,65,108,0.602,113,224,0.504,0,0,0.0,5.4,1.5,48.2,Sr,9-Jun,45,1.79455,102.918,4.8,2010,82,all,,0.40678302,100.0,171.0,13.0,53.0,0.5848,0.2453,13.0,15.0,0.8667,,102.309,102.068,2.3816,148.423,0.807943,-0.100788,0.908731,-1.15262,28.2069,-0.341498,-0.811118,3.3793,3.6897,7.069,0.8276,0.6552,1.2414,10.0345,C,0.0
4616,Marc Larson,Bowling Green,MAC,29,52.0,97.5,17.7,48.4,52.88,12.6,11.9,5.2,23.7,38,53,0.717,62,128,0.484,0,0,0.0,3.9,0.9,41.4,Sr,9-Jun,50,0.710932,94.3515,4.2,2010,84,all,,0.3658226,43.0,75.0,19.0,53.0,0.5733,0.3585,4.0,4.0,1.0,,105.977,105.727,1.50013,94.0664,-1.75902,-1.39729,-0.361722,-3.16722,20.8966,-1.80107,-1.36615,2.1379,2.069,4.2069,0.5172,0.3103,0.6552,5.5862,C,0.0
4619,Vernon Macklin,Florida,SEC,34,62.5,116.3,19.8,60.7,60.85,11.9,12.9,6.5,16.2,47,80,0.588,156,257,0.607,0,0,0.0,3.5,1.4,31.1,Jr,10-Jun,32,3.14036,120.721,3.8,2010,91,all,95.0,0.56523023,121.0,164.0,35.0,93.0,0.7378,0.3763,42.0,45.0,0.9333,52.0,99.6269,95.2206,2.71272,150.896,5.30216,3.5642,1.73797,4.85543,25.2647,3.80201,1.05341,2.6765,2.8529,5.5294,0.7647,0.5882,0.8529,10.5588,C,0.0
4623,Sean Carter,Massachusetts,A10,31,60.4,101.7,13.4,48.4,48.58,14.0,16.1,7.0,20.2,31,66,0.47,59,122,0.484,0,0,0.0,5.3,1.3,54.1,So,9-Jun,23,0.778222,93.7875,5.1,2010,113,all,25.0,0.77774909,59.0,116.0,0.0,6.0,0.5086,0.0,26.0,35.0,0.7429,,103.626,99.7786,2.2406,151.225,3.59651,0.187429,3.40908,-0.455255,24.3548,-1.11309,0.657833,3.3548,3.6774,7.0323,0.9032,0.5484,1.2903,4.8065,C,0.0
4625,Paul Campbell,Hawaii,WAC,28,46.2,113.3,13.9,57.7,55.58,12.8,10.1,12.3,16.7,18,42,0.429,56,97,0.577,0,0,0.0,4.9,1.1,43.3,Sr,10-Jun,21,1.19803,102.54,4.3,2010,117,all,,1.52386665,32.0,39.0,24.0,55.0,0.8205,0.4364,19.0,21.0,0.9048,,109.499,105.433,1.39973,88.3632,3.11074,1.34126,1.76948,1.37515,19.1429,0.695374,0.679777,2.1071,1.6071,3.7143,1.1429,0.3571,0.8929,4.6429,C,0.0
4633,Thomas Coleman,North Carolina A&T,MEAC,30,67.6,103.8,18.9,53.9,54.83,11.4,20.4,11.0,18.9,67,122,0.549,103,189,0.545,0,2,0.0,8.1,1.7,63.9,Jr,9-Jun,23,1.43216,99.7604,3.7,2010,148,all,,0.76922634,91.0,141.0,12.0,48.0,0.6454,0.25,32.0,33.0,0.9697,,96.8455,101.055,2.38912,193.156,1.89399,-1.37114,3.26513,0.784853,27.1667,0.0442643,0.740588,3.0,5.2667,8.2667,1.3333,0.8,2.0667,9.1,C,0.138106
4648,Ryan Reid,Florida St.,ACC,31,54.8,97.5,18.3,49.1,51.58,9.9,10.0,10.1,23.2,46,77,0.597,82,167,0.491,0,0,0.0,2.6,1.5,46.1,Sr,8-Jun,42,1.18608,99.6167,2.6,2010,193,all,82.0,0.68623872,45.0,71.0,37.0,96.0,0.6338,0.3854,5.0,5.0,1.0,57.0,93.5205,88.4882,2.98377,117.284,2.50667,-0.238258,2.74493,2.72072,22.7097,0.514712,2.20601,1.871,2.0968,3.9677,1.129,0.5806,0.5161,6.7742,C,0.0
