,player_name,team,conf,GP,Min_per,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,yr,ht,num,porpag,adjoe,pfr,year,pid,type,Rec Rank,ast/tov,rimmade,rimmade+rimmiss,midmade,midmade+midmiss,rimmade/(rimmade+rimmiss),midmade/(midmade+midmiss),dunksmade,dunksmiss+dunksmade,dunksmade/(dunksmade+dunksmiss),pick,drtg,adrtg,dporpag,stops,bpm,obpm,dbpm,gbpm,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,position,Unnamed: 65
4589,Pooh Williams,Utah St.,WAC,32,64.0,108.3,18.1,53.0,53.33,2.3,5.9,14.6,14.1,33,62,0.532,70,134,0.522,36,100,0.36,0.9,1.4,26.5,Jr,3-Jun,5,1.91528,104.792,2.7,2010,3,all,,1.99990867,48.0,75.0,22.0,59.0,0.64,0.3729,6.0,7.0,0.8571,,100.875,98.5761,2.63663,124.827,2.28252,2.42698,-0.144461,1.06223,27.3125,0.78596,0.276271,0.4688,1.375,1.8438,2.1875,0.5938,0.2188,8.7812,Combo G,7.30085
4594,Carlos Strong,Boston University,AE,35,76.2,118.1,16.4,58.8,60.93,4.7,11.5,12.3,15.1,73,107,0.682,65,136,0.478,59,125,0.472,1.4,3.1,41.0,Sr,3-Jun,22,2.87246,111.674,3.5,2010,32,all,3.2,1.34038268,47.0,78.0,19.0,58.0,0.6026,0.3276,13.0,15.0,0.8667,,95.9093,98.0859,3.00456,215.857,6.07749,3.66533,2.41216,5.25306,30.6857,2.91471,2.33834,1.3429,3.2286,4.5714,1.8,1.6571,0.4,10.8571,Combo G,6.58307
4602,Patrick Bouli,Manhattan,MAAC,31,70.9,99.1,10.0,47.2,50.96,1.4,13.2,13.8,23.3,20,22,0.909,16,42,0.381,28,81,0.346,0.6,2.9,17.9,Sr,2-Jun,10,0.00748613,84.5808,3.1,2010,43,all,,1.85721894,6.0,14.0,10.0,28.0,0.4286,0.3571,0.0,0.0,,,98.1056,99.7678,2.63204,168.511,1.87334,-0.291661,2.16501,-0.58847,28.4839,-2.6163,2.02783,0.3871,3.3226,3.7097,2.0968,1.4194,0.1613,4.3871,Combo G,5.40671
4604,Chris Harris,Navy,Pat,30,86.2,98.6,30.3,44.3,51.9,0.8,7.4,13.1,15.4,178,204,0.873,95,255,0.373,88,257,0.342,0.3,3.2,39.8,Sr,2-Jun,5,2.725,107.288,3.2,2010,47,all,,0.63638225,59.0,133.0,36.0,122.0,0.4436,0.2951,0.0,0.0,,,103.503,107.406,2.28431,195.695,-1.82331,0.894084,-2.71739,0.765581,34.9,1.7243,-0.958724,0.2667,2.2333,2.5,1.8667,2.0,0.1,21.0667,Combo G,13.6004
4627,Zach Hahn,Butler,Horz,38,38.4,115.8,14.4,60.1,61.81,0.7,6.4,9.1,15.6,13,14,0.929,14,27,0.519,48,116,0.414,0.0,1.4,9.8,Jr,1-Jun,3,1.34755,109.77,2.3,2010,123,all,28.4,1.14296054,4.0,8.0,9.0,17.0,0.5,0.5294,0.0,0.0,,,98.2764,93.6761,1.75093,81.9648,3.2535,2.35428,0.899215,4.19678,15.4211,2.65522,1.54156,0.0789,0.7895,0.8684,0.6316,0.3421,0.0,4.8684,Combo G,12.3526
4629,Shawn Vanzant,Butler,Horz,38,36.3,96.0,14.3,41.5,49.42,2.8,11.9,16.1,24.4,37,51,0.725,13,36,0.361,14,46,0.304,1.2,1.7,62.2,Jr,Jun-00,2,0.311817,90.6888,3.1,2010,125,all,,1.45158131,7.0,16.0,6.0,18.0,0.4375,0.3333,0.0,0.0,,,94.7486,90.3135,1.82488,91.9823,2.37334,-0.628036,3.00137,1.96102,14.5789,-0.812312,2.77333,0.3158,1.3947,1.7105,1.1842,0.3947,0.1579,2.7632,Combo G,5.18184
4634,Kyle Riley,Howard,MEAC,25,35.7,77.2,22.0,39.9,41.54,1.9,5.8,18.4,24.4,19,36,0.528,48,91,0.527,6,52,0.115,0.4,2.0,25.2,Jr,3-Jun,15,-0.491042,76.7539,2.7,2010,150,all,,0.78048779,37.0,64.0,11.0,28.0,0.5781,0.3929,2.0,3.0,0.6667,,108.373,113.384,0.831268,68.8907,-8.27617,-5.17332,-3.10284,-7.07778,18.44,-4.97707,-2.10071,0.32,0.88,1.2,1.28,0.6,0.08,5.32,Combo G,6.80351
4650,Nolan Smith,Duke,ACC,38,84.4,115.5,23.7,49.6,53.44,2.9,5.8,17.6,13.0,122,159,0.767,179,389,0.46,60,153,0.392,0.6,2.0,29.3,Jr,2-Jun,2,5.54569,129.457,2.0,2010,198,all,95.8,1.65216438,95.0,155.0,84.0,231.0,0.6129,0.3636,10.0,14.0,0.7143,21.0,96.267,90.4999,4.44184,206.298,6.54489,5.0843,1.46058,7.68869,35.5526,5.38273,2.30597,0.9211,1.8684,2.7895,3.0,1.1842,0.2368,17.3684,Combo G,6.81164
4652,E'Twaun Moore,Purdue,B10,35,78.5,103.9,27.7,49.9,53.13,3.4,10.8,19.8,14.3,100,137,0.73,161,330,0.488,51,146,0.349,1.0,2.8,28.8,Jr,4-Jun,33,3.74284,118.854,2.9,2010,201,all,95.0,1.27396074,42.0,63.0,119.0,267.0,0.6667,0.4457,6.0,7.0,0.8571,55.0,92.4751,86.9938,4.30533,204.762,6.81518,3.93199,2.88319,7.75615,31.5143,4.75739,2.99876,0.9143,2.9143,3.8286,2.6571,1.4571,0.2857,16.4286,Combo G,7.90072
4656,Junior Salters,Wofford,SC,34,59.1,103.0,17.3,49.2,49.77,1.5,10.9,11.8,12.7,18,32,0.563,23,73,0.315,67,178,0.376,0.4,1.8,12.7,Sr,2-Jun,3,1.10664,97.9905,3.0,2010,211,all,20.8,1.55176456,14.0,31.0,9.0,42.0,0.4516,0.2143,0.0,1.0,0.0,,96.7145,96.7117,2.44481,132.283,2.52179,1.48809,1.0337,1.81373,23.7353,0.754667,1.05906,0.2941,2.1765,2.4706,1.3235,0.6765,0.0882,7.7941,Combo G,13.4416
