,player_name,team,conf,GP,Min_per,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,yr,ht,num,porpag,adjoe,pfr,year,pid,type,Rec Rank,ast/tov,rimmade,rimmade+rimmiss,midmade,midmade+midmiss,rimmade/(rimmade+rimmiss),midmade/(midmade+midmiss),dunksmade,dunksmiss+dunksmade,dunksmade/(dunksmade+dunksmiss),pick,drtg,adrtg,dporpag,stops,bpm,obpm,dbpm,gbpm,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,position,Unnamed: 65
4606,Brandon Adams,Manhattan,MAAC,27,51.0,102.7,18.0,44.0,50.28,9.8,13.5,7.2,15.4,58,82,0.707,64,147,0.435,1,2,0.5,4.5,2.4,55.0,Sr,6-Jun,32,1.27656,100.22,6.2,2010,51,all,,0.73332738,41.0,87.0,23.0,60.0,0.4713,0.3833,7.0,9.0,0.7778,,96.9976,97.8898,2.32448,126.658,2.24404,-0.333583,2.57762,-0.513346,23.5185,-1.57037,1.05702,2.1852,2.8148,5.0,0.8148,0.963,0.963,7.0,PF/C,0.18559
4621,Frank Hassell,Old Dominion,CAA,36,60.1,108.0,21.3,54.0,56.37,13.7,18.4,8.6,20.7,63,96,0.656,134,248,0.54,0,0,0.0,4.5,2.3,38.7,Jr,7-Jun,21,2.20798,110.987,3.1,2010,100,all,,0.59017943,98.0,133.0,36.0,115.0,0.7368,0.313,9.0,10.0,0.9,,88.0503,85.5842,3.4118,177.717,6.33126,1.68103,4.65023,5.21583,24.1111,2.721,2.49483,2.9167,3.75,6.6667,1.0,0.8611,0.9167,9.1944,PF/C,0.0
4635,Justin Nabors,Lamar,Slnd,28,77.3,99.5,25.3,51.2,55.57,12.1,21.6,11.5,23.8,106,153,0.693,139,268,0.519,6,21,0.286,2.3,1.4,52.9,Sr,7-Jun,24,2.13019,104.35,3.4,2010,152,all,,0.44565846,101.0,153.0,38.0,115.0,0.6601,0.3304,8.0,9.0,0.8889,,102.644,104.547,2.35687,175.078,-1.43784,-0.804466,-0.633371,-0.305027,31.0714,1.34518,-1.65021,3.4286,5.8929,9.3214,1.4643,0.75,0.7143,14.3571,PF/C,1.37423
4637,Adam Walker,Howard,MEAC,23,36.2,80.4,20.3,38.5,38.75,8.0,20.0,15.1,18.5,23,61,0.377,44,115,0.383,2,7,0.286,3.6,1.0,50.0,Jr,8-Jun,5,-0.457742,77.9373,3.9,2010,155,all,,0.96550078,23.0,39.0,21.0,76.0,0.5897,0.2763,0.0,0.0,,,102.898,109.189,1.20685,89.4131,-4.55107,-4.98833,0.437263,-4.32316,20.3043,-3.92191,-0.401249,1.5217,3.3478,4.8696,1.2174,0.3478,0.7391,5.087,PF/C,0.903207
4643,Pawel Buczak,Princeton,Ivy,30,54.4,88.6,19.1,46.9,48.42,8.6,11.0,17.2,28.8,20,35,0.571,46,105,0.438,10,25,0.4,3.4,1.8,26.9,Sr,11-Jun,55,0.0960293,85.777,5.5,2010,180,all,,0.90738888,39.0,75.0,7.0,30.0,0.52,0.2333,1.0,1.0,1.0,,91.4231,94.1041,2.44559,106.474,-0.0335015,-2.97264,2.93914,-1.83095,21.9333,-3.81452,1.98357,1.3667,1.8,3.1667,1.6333,0.6,0.6333,4.7333,PF/C,2.551
4646,Ousman Krubally,Georgia St.,CAA,29,52.4,104.3,19.5,54.5,57.99,14.9,16.2,5.0,23.9,59,90,0.656,73,134,0.545,0,0,0.0,3.1,2.1,67.2,Sr,6-Jun,24,1.48905,103.662,6.7,2010,186,all,,0.31246979,57.0,96.0,16.0,38.0,0.5938,0.4211,0.0,0.0,,,99.0228,99.6529,2.08714,120.451,1.01764,0.437097,0.580539,-0.873907,22.6897,-0.846204,-0.0277032,2.8966,2.8966,5.7931,0.5172,0.7586,0.5862,7.069,PF/C,0.0
4651,Taylor King,Villanova,BE,32,45.8,113.5,18.2,52.3,54.62,9.7,20.9,5.5,15.5,31,42,0.738,43,87,0.494,40,110,0.364,2.9,2.1,21.3,So,6-Jun,31,2.00647,115.007,5.6,2010,200,all,93.0,0.58061519,29.0,53.0,14.0,34.0,0.5472,0.4118,5.0,6.0,0.8333,,96.9385,91.2881,2.3166,136.795,5.42044,3.74795,1.67249,4.16885,19.0312,3.02522,1.14363,1.625,3.6562,5.2812,0.5625,0.7188,0.4688,7.4062,PF/C,10.0328
4658,Tim Johnson,Wofford,SC,34,57.6,88.1,21.3,43.0,42.02,11.5,29.8,16.6,20.4,34,95,0.358,86,199,0.432,0,1,0.0,2.5,2.7,47.5,Jr,6-Jun,41,0.332106,88.66,4.6,2010,218,all,,1.10709736,70.0,141.0,16.0,58.0,0.4965,0.2759,9.0,10.0,0.9,,85.5748,85.5724,3.2715,195.308,3.47169,-2.06765,5.53935,1.36477,23.1176,-1.52011,2.88488,2.2647,5.8235,8.0882,1.8235,1.0294,0.5294,6.0588,PF/C,0.0774811
4671,Justin Rutty,Quinnipiac,NEC,33,78.8,111.7,24.4,54.2,56.15,17.5,20.7,6.1,16.9,95,151,0.629,205,378,0.542,0,0,0.0,1.8,1.9,39.9,Jr,7-Jun,12,3.19058,113.68,3.7,2010,273,all,,0.39190153,166.0,282.0,39.0,96.0,0.5887,0.4063,14.0,15.0,0.9333,,93.4564,100.544,2.83898,224.218,0.985896,1.89945,-0.913558,1.76048,31.5152,3.41144,-1.65096,4.9394,5.9394,10.8788,0.8788,1.0303,0.5455,15.303,PF/C,0.0
4678,Julius Thomas,Portland St.,BSky,29,68.1,118.4,18.5,67.2,62.81,8.5,17.3,12.2,15.9,53,117,0.453,129,191,0.675,0,1,0.0,2.4,3.0,60.9,Sr,5-Jun,1,2.88646,114.016,3.7,2010,318,all,,1.26189325,83.0,113.0,48.0,80.0,0.7345,0.6,20.0,22.0,0.9091,,111.02,110.267,1.58824,162.749,3.47709,3.44602,0.0310678,3.43286,28.5517,3.47262,-0.0397598,2.0,3.931,5.931,1.8276,1.4483,0.6897,10.7241,PF/C,0.0703434
4679,Zahir Carrington,Lehigh,Pat,30,63.2,91.2,23.8,51.6,51.7,8.5,18.0,9.7,22.7,66,133,0.496,132,255,0.518,0,1,0.0,5.2,2.2,52.0,Sr,7-Jun,10,0.758187,92.3639,4.8,2010,319,all,,0.48749391,95.0,138.0,37.0,117.0,0.6884,0.3162,30.0,31.0,0.9677,,95.4038,100.16,2.54156,192.656,-0.185746,-2.5658,2.38006,-1.9968,28.0333,-2.5141,0.517307,2.0333,4.6333,6.6667,1.3,1.0667,1.4,11.0,PF/C,0.0676397
4681,Ernest Fields,Austin Peay,OVC,15,7.6,84.3,19.5,50.0,52.34,8.9,17.5,0.0,29.1,6,10,0.6,11,22,0.5,0,0,0.0,2.2,0.6,45.5,Sr,6-Jun,10,-0.075693,80.8985,6.9,2010,321,all,35.0,0.0,10.0,16.0,1.0,6.0,0.625,0.1667,0.0,0.0,,,106.479,107.265,0.403824,16.302,-12.4023,-7.15486,-5.24747,-9.84825,6.2,-7.06483,-2.78342,0.4667,0.9333,1.4,0.0,0.0667,0.1333,1.8667,PF/C,0.0
4682,Duran Roberson,Austin Peay,OVC,30,43.5,102.0,17.2,53.7,55.56,5.8,12.4,4.1,17.9,33,53,0.623,65,114,0.57,5,21,0.238,3.9,0.6,39.3,Jr,8-Jun,42,0.750977,96.9398,4.1,2010,323,all,,0.35711988,21.0,30.0,45.0,85.0,0.7,0.5294,4.0,5.0,0.8,,108.554,108.05,1.11451,84.9575,-2.43478,-1.41088,-1.02389,-2.0695,17.7667,-1.21681,-0.852695,0.8667,1.9,2.7667,0.3333,0.1667,0.6667,5.9333,PF/C,2.30724
4685,Scott Brooks,Navy,Pat,20,5.6,47.5,11.4,16.7,25.51,1.6,13.6,7.8,35.9,3,8,0.375,1,6,0.167,0,0,0.0,0.0,2.5,133.3,Sr,6-Jun,32,-0.526771,39.0184,7.6,2010,329,all,,0.60000002,0.0,2.0,1.0,4.0,0.0,0.25,0.0,0.0,,,102.107,106.608,0.230418,13.5008,-9.49065,-8.98173,-0.508923,-8.59229,3.4,-9.46,0.86772,0.05,0.4,0.45,0.15,0.15,0.0,0.25,PF/C,0.0
4696,Kurt Hoffman,St. Francis PA,NEC,30,56.0,87.9,13.2,56.1,57.03,7.3,12.5,9.1,34.8,27,47,0.574,46,82,0.561,0,0,0.0,2.5,1.7,57.3,Sr,6-Jun,54,-0.593436,76.8722,3.9,2010,346,all,9.4,0.549,30.0,55.0,16.0,27.0,0.5455,0.5926,0.0,0.0,,,107.175,112.556,1.0845,112.468,-3.20777,-3.43456,0.226786,-4.43391,22.5,-3.63172,-0.802197,1.3333,2.2333,3.5667,0.9333,0.6333,0.4667,3.9667,PF/C,0.0
4700,Derrick Caracter,UTEP,CUSA,27,53.9,103.5,27.3,57.5,59.84,12.0,21.7,9.0,22.2,80,119,0.672,144,246,0.585,4,15,0.267,3.6,2.1,45.6,Jr,9-Jun,4,2.80389,115.227,4.6,2010,359,all,95.4,0.38959989,85.0,123.0,59.0,123.0,0.6911,0.4797,11.0,11.0,1.0,58.0,89.4752,85.588,3.7413,156.91,3.73222,0.370877,3.36134,4.33394,26.6667,2.39652,1.93742,2.6667,5.4074,8.0741,1.1111,0.963,0.8519,14.0741,PF/C,1.14351
4722,Marco Cooper,Sam Houston St.,Slnd,19,10.3,122.0,12.9,66.7,66.31,14.1,20.9,8.9,21.7,3,5,0.6,14,21,0.667,0,0,0.0,0.9,0.9,23.8,So,7-Jun,23,0.476297,106.342,6.3,2010,441,all,1.4,1.0,13.0,17.0,1.0,4.0,0.7647,0.25,0.0,0.0,,,101.091,103.564,0.500381,22.9979,1.20344,1.04605,0.157395,-1.06693,6.3684,-0.588947,-0.477985,0.7895,1.1579,1.9474,0.3158,0.1053,0.0526,1.6316,PF/C,0.0
4741,Anthony Hill,Milwaukee,Horz,32,50.2,99.4,26.8,50.7,55.16,7.1,19.9,14.0,21.1,93,142,0.655,103,197,0.523,2,12,0.167,2.7,2.0,67.9,Jr,7-Jun,23,1.67873,108.582,5.2,2010,501,all,,0.59674841,48.0,84.0,54.0,112.0,0.5714,0.4821,1.0,1.0,1.0,,98.3487,96.9921,2.05771,131.99,0.801788,-0.701168,1.50296,1.49368,20.25,0.219023,1.27466,1.25,3.4375,4.6875,1.1562,0.6875,0.5,9.5312,PF/C,1.09784
4745,Vinny Lima,Northeastern,CAA,29,13.1,108.6,13.9,50.0,52.51,11.3,12.5,8.0,18.7,5,7,0.714,6,16,0.375,6,14,0.429,1.2,0.7,23.3,Jr,10-Jun,11,0.335374,100.728,5.7,2010,515,all,,1.0,4.0,8.0,2.0,8.0,0.5,0.25,0.0,0.0,,,100.433,97.7201,0.595046,25.3799,-0.149139,0.271021,-0.42016,-0.47437,6.0345,-0.756053,0.281683,0.5172,0.6207,1.1379,0.2414,0.069,0.069,1.2069,PF/C,5.19488
4748,Larry Jackson,Florida A&M,MEAC,28,65.2,91.7,18.7,42.2,47.64,6.7,17.2,5.2,17.8,80,132,0.606,78,182,0.429,0,3,0.0,0.5,1.3,71.4,Jr,6-Jun,32,0.340877,88.0199,3.8,2010,529,all,,0.40003733,43.0,68.0,35.0,114.0,0.6324,0.307,9.0,11.0,0.8182,,106.417,112.59,1.34936,142.094,-5.58707,-2.77347,-2.8136,-4.90733,28.0714,-2.4732,-2.43413,1.7143,4.25,5.9643,0.6429,0.6071,0.1429,8.4286,PF/C,0.222528
4761,Kris Douse,Delaware St.,MEAC,14,7.8,68.5,20.5,38.9,40.77,7.6,11.2,2.8,32.5,3,6,0.5,7,18,0.389,0,0,0.0,1.6,3.3,33.3,Sr,6-Jun,34,-0.357757,66.7451,6.3,2010,562,all,58.8,0.12495625,6.0,12.0,1.0,6.0,0.5,0.1667,0.0,0.0,,,98.371,102.986,0.473763,14.0703,-10.8702,-9.45733,-1.41287,-9.97345,5.8571,-8.9878,-0.985648,0.3571,0.4286,0.7857,0.0714,0.2857,0.0714,1.2143,PF/C,0.0
4766,Alex Tyler,Cornell,Ivy,25,20.5,92.1,19.5,34.3,43.22,8.3,9.4,7.9,19.2,23,27,0.852,23,67,0.343,0,0,0.0,5.1,1.4,40.3,Sr,7-Jun,33,0.279895,92.1814,5.9,2010,584,all,,0.75,8.0,18.0,13.0,45.0,0.4444,0.2889,0.0,0.0,,,100.571,101.058,0.927807,43.2171,-2.16987,-2.55121,0.381343,-3.80775,10.56,-3.71769,-0.09006,0.68,0.8,1.48,0.48,0.24,0.48,2.76,PF/C,0.0
4779,Olivier Dupiton,Stetson,ASun,22,24.0,73.3,13.8,38.9,41.53,8.8,13.0,4.9,31.6,9,18,0.5,14,36,0.389,0,0,0.0,2.5,3.5,50.0,Jr,7-Jun,11,-0.759795,65.9057,6.0,2010,626,all,12.6,0.3157712,12.0,22.0,2.0,14.0,0.5455,0.1429,0.0,0.0,,,104.877,106.832,0.803669,50.9709,-4.88595,-5.77737,0.891418,-5.86889,11.7727,-6.07765,0.208757,0.9545,1.1818,2.1364,0.2727,0.6818,0.2727,1.6818,PF/C,0.0
4781,Rob Thomas,St. John's,BE,12,6.4,93.3,19.0,50.0,49.59,9.0,12.3,2.4,18.6,5,11,0.455,11,21,0.524,0,1,0.0,0.0,0.7,50.0,Jr,6-Jun,55,0.216058,93.1928,5.1,2010,629,all,57.6,0.19990401,4.0,5.0,5.0,11.0,0.8,0.4545,0.0,0.0,,,103.269,98.2233,0.703313,12.5083,-4.05713,-2.11535,-1.94178,-3.5054,7.1667,-3.13024,-0.375162,0.5833,0.75,1.3333,0.0833,0.0833,0.0,2.25,PF/C,0.708931
4789,Dazzmond Thornton,James Madison,CAA,12,13.9,84.5,18.5,52.3,53.31,3.2,13.5,8.0,29.6,8,14,0.571,23,44,0.523,0,0,0.0,3.6,1.9,31.8,Sr,7-Jun,55,-0.191699,80.8821,4.6,2010,647,all,51.0,0.41173148,12.0,17.0,9.0,22.0,0.7059,0.4091,0.0,0.0,,,101.694,104.354,1.17217,34.5807,-5.34319,-5.54981,0.206621,-3.5494,15.25,-4.28891,0.739511,0.4167,1.9167,2.3333,0.5833,0.5,0.5833,4.5,PF/C,0.0
4791,Justin Knox,Alabama,SEC,32,49.4,102.4,19.1,44.3,51.05,9.4,12.1,6.8,17.5,63,86,0.733,68,156,0.436,1,1,1.0,2.4,1.3,54.8,Jr,9-Jun,40,1.4083,105.054,4.5,2010,658,all,81.6,0.62854272,29.0,53.0,39.0,103.0,0.5472,0.3786,13.0,14.0,0.9286,,101.046,96.1893,2.07759,100.869,0.906112,-0.0533398,0.959452,0.340158,19.75,-0.13665,0.476808,1.5938,2.0938,3.6875,0.6875,0.4062,0.4375,6.3125,PF/C,0.0954454
4802,Rishawn Johnson,Canisius,MAAC,29,22.0,73.1,17.2,41.3,43.33,5.5,11.0,4.4,31.6,10,18,0.556,26,62,0.419,0,1,0.0,0.7,0.8,28.6,Jr,6-Jun,25,-0.492497,69.9161,6.3,2010,687,all,,0.23076065,18.0,43.0,8.0,19.0,0.4186,0.4211,0.0,0.0,,,103.071,106.149,0.687204,44.8409,-8.60896,-6.91666,-1.6923,-9.25368,9.8966,-7.71614,-1.53754,0.4828,1.0,1.4828,0.2069,0.1379,0.069,2.1379,PF/C,0.209584
4813,Justin Burrell,St. John's,BE,28,41.4,101.1,19.3,47.4,51.92,6.5,19.3,8.6,18.8,41,55,0.745,65,134,0.485,5,19,0.263,2.5,1.1,35.9,Jr,8-Jun,24,1.38403,104.987,5.9,2010,718,all,90.6,0.69692858,30.0,44.0,35.0,90.0,0.6818,0.3889,11.0,13.0,0.8462,,98.0822,90.63,2.42419,102.395,1.75281,-0.308879,2.06169,1.03999,19.8214,-0.983217,2.0232,1.1786,3.25,4.4286,0.8214,0.3571,0.4643,6.6429,PF/C,2.08227
4828,D'walyn Roberts,Texas Tech,B12,34,55.3,119.3,14.3,56.1,60.01,11.4,17.3,5.3,14.5,55,74,0.743,92,163,0.564,0,1,0.0,5.4,1.9,45.1,Jr,7-Jun,5,2.33283,114.039,4.5,2010,766,all,74.0,0.73334088,68.0,107.0,24.0,56.0,0.6355,0.4286,17.0,23.0,0.7391,,98.9652,92.5514,2.68185,174.476,6.96437,2.68651,4.27786,5.07165,23.2647,2.51621,2.55544,2.4412,3.7941,6.2353,0.6471,0.7941,1.2941,7.0294,PF/C,0.0693951
