,player_name,team,conf,GP,Min_per,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,yr,ht,num,porpag,adjoe,pfr,year,pid,type,Rec Rank,ast/tov,rimmade,rimmade+rimmiss,midmade,midmade+midmiss,rimmade/(rimmade+rimmiss),midmade/(midmade+midmiss),dunksmade,dunksmiss+dunksmade,dunksmade/(dunksmade+dunksmiss),pick,drtg,adrtg,dporpag,stops,bpm,obpm,dbpm,gbpm,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,position,Unnamed: 65
4608,Jabari Deshields,Alabama A&M,SWAC,22,45.2,63.1,18.4,26.9,33.51,3.9,6.8,25.7,37.3,23,40,0.575,12,57,0.211,6,21,0.286,0.5,2.9,51.3,Jr,10-May,12,-1.57577,59.3867,4.9,2010,55,all,,1.0,5.0,24.0,7.0,33.0,0.2083,0.2121,0.0,0.0,,,100.059,110.401,0.989279,65.5807,-9.91849,-6.84486,-3.07363,-10.9452,18.1818,-8.07849,-2.86673,0.7273,1.1364,1.8636,2.2727,0.9545,0.0909,2.9545,Pure PG,2.91805
4622,Kevin White,Maryland Eastern Shore,MEAC,32,85.1,82.7,23.3,41.3,45.0,1.2,9.0,36.0,31.3,62,94,0.66,92,220,0.418,19,72,0.264,0.3,2.4,32.2,Jr,Jun-00,3,-0.143323,83.2919,1.9,2010,104,all,,1.3030303,45.0,81.0,47.0,139.0,0.5556,0.3381,0.0,0.0,,,105.145,110.774,1.85894,180.249,-5.02687,-3.38145,-1.64542,-4.77746,34.1875,-2.61635,-2.16111,0.375,2.7188,3.0938,5.375,1.3438,0.0938,9.4688,Pure PG,3.98042
4632,James Hett,Monmouth,NEC,31,81.5,89.5,11.8,41.3,43.17,1.4,9.7,28.5,30.6,14,22,0.636,32,70,0.457,15,62,0.242,0.5,2.5,16.7,Jr,10-May,15,-0.978616,75.8486,2.7,2010,146,all,,2.33870006,25.0,46.0,7.0,24.0,0.5435,0.2917,0.0,0.0,,,100.943,107.116,2.19198,172.064,-4.10144,-3.13158,-0.96986,-4.1721,32.5806,-4.18049,0.00838438,0.4194,2.6129,3.0323,4.6774,1.3548,0.129,3.9677,Pure PG,3.62648
4665,Eugene Harvey,Seton Hall,BE,30,60.1,108.9,19.2,54.5,59.29,2.8,6.5,29.4,26.4,64,84,0.762,81,147,0.551,10,29,0.345,0.2,3.1,47.7,Sr,Jun-00,20,2.29897,110.378,3.0,2010,243,all,83.6,1.9577048,78.0,134.0,3.0,13.0,0.5821,0.2308,0.0,0.0,,,105.763,100.352,2.32375,132.312,2.52555,2.33449,0.191061,2.647,26.0333,1.75939,0.887613,0.7,1.6333,2.3333,4.6333,1.4333,0.0667,8.5333,Pure PG,2.06998
4677,Woody Payne,Detroit,Horz,33,70.2,97.8,14.9,46.5,51.84,2.7,12.4,27.2,28.5,61,96,0.635,52,109,0.477,5,19,0.263,0.6,4.7,75.0,Sr,10-May,11,0.523844,89.8848,3.0,2010,312,all,,2.01470452,44.0,70.0,8.0,39.0,0.6286,0.2051,2.0,2.0,1.0,,92.2497,91.3361,3.42432,208.153,3.41386,-0.0696641,3.48352,3.00323,28.2727,-1.46746,4.47069,0.6364,3.0,3.6364,4.1515,2.2727,0.1515,5.4545,Pure PG,1.18481
4680,Marquis Hall,Lehigh,Pat,33,78.5,105.0,21.7,46.0,50.0,1.9,10.1,34.4,18.1,72,99,0.727,63,168,0.375,55,148,0.372,0.3,2.1,31.3,Sr,Jun-00,1,2.17182,104.438,2.9,2010,320,all,51.6,2.59725922,24.0,45.0,39.0,123.0,0.5333,0.3171,1.0,1.0,1.0,,101.593,106.388,2.19181,188.012,0.736898,2.5194,-1.7825,0.555873,31.6364,1.41503,-0.859153,0.5152,2.9394,3.4545,5.6667,1.1818,0.0909,11.0,Pure PG,8.05955
4702,Edgar Sosa,Louisville,BE,33,68.0,111.0,25.4,55.2,57.0,2.2,6.4,33.5,22.3,70,107,0.654,81,154,0.526,67,175,0.383,0.4,1.9,32.5,Sr,2-Jun,10,3.7412,124.134,3.8,2010,366,all,86.0,1.70454119,57.0,91.0,24.0,63.0,0.6264,0.381,6.0,6.0,1.0,,106.276,99.9395,2.50788,131.67,3.01509,5.0307,-2.01561,4.68579,27.5152,5.06462,-0.378831,0.5455,1.5455,2.0909,4.5455,0.8788,0.0909,13.1212,Pure PG,11.2664
4728,Greivis Vasquez,Maryland,ACC,32,84.8,111.7,30.7,49.7,55.02,3.9,10.3,35.3,18.2,138,161,0.857,151,320,0.472,67,186,0.36,1.0,2.9,31.8,Sr,6-Jun,21,5.77909,133.611,2.4,2010,465,all,91.6,1.87964446,63.0,109.0,88.0,211.0,0.578,0.4171,4.0,4.0,1.0,28.0,97.2737,92.9583,3.94793,211.734,9.25869,7.75068,1.50801,9.97327,34.3125,8.04126,1.932,1.1875,3.5312,4.7188,6.3438,1.7188,0.3438,20.0312,Pure PG,9.6179
4770,Louis Dale,Cornell,Ivy,30,66.6,116.5,25.4,55.2,58.61,2.7,9.9,33.2,19.2,58,68,0.853,92,175,0.526,48,122,0.393,0.4,2.8,22.9,Sr,11-May,12,4.05782,125.686,3.4,2010,588,all,,2.08818994,54.0,96.0,36.0,73.0,0.5625,0.4932,1.0,1.0,1.0,,100.054,100.713,2.54141,143.93,4.95793,6.07878,-1.12084,5.03297,28.6333,5.0531,-0.0201318,0.6,2.3,2.9,4.7333,1.3,0.1,12.8667,Pure PG,8.74236
4772,Frank Turner,Canisius,MAAC,32,93.9,107.6,24.9,50.3,55.67,2.2,12.4,34.5,20.9,151,211,0.716,149,294,0.507,23,71,0.324,0.3,3.3,57.8,Sr,10-May,1,3.8795,114.256,2.6,2010,591,all,,1.71698113,108.0,190.0,41.0,104.0,0.5684,0.3942,0.0,0.0,,,97.9446,100.98,3.32837,239.188,4.29684,3.33665,0.960183,4.26552,38.3125,2.51774,1.74779,0.75,4.3438,5.0938,5.6875,2.0625,0.0938,16.1875,Pure PG,3.48637
