,player_name,team,conf,GP,Min_per,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,yr,ht,num,porpag,adjoe,pfr,year,pid,type,Rec Rank,ast/tov,rimmade,rimmade+rimmiss,midmade,midmade+midmiss,rimmade/(rimmade+rimmiss),midmade/(midmade+midmiss),dunksmade,dunksmiss+dunksmade,dunksmade/(dunksmade+dunksmiss),pick,drtg,adrtg,dporpag,stops,bpm,obpm,dbpm,gbpm,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,position,Unnamed: 65
4600,Corey Lowe,Boston University,AE,32,75.7,91.5,28.9,46.3,49.32,3.1,11.5,28.8,24.6,88,134,0.657,84,204,0.412,75,220,0.341,1.4,2.1,31.6,Sr,2-Jun,13,1.84047,100.459,3.0,2010,39,all,55.6,1.01492537,39.0,76.0,45.0,128.0,0.5132,0.3516,0.0,1.0,0.0,,98.0933,101.148,2.9252,195.765,0.94008,0.615129,0.324951,1.17251,33.375,1.67807,-0.505561,0.9688,3.5,4.4688,4.25,1.25,0.4062,15.0312,Scoring PG,11.6627
4603,Antoine Pearson,Manhattan,MAAC,31,59.0,97.0,20.3,42.8,48.18,1.6,9.1,18.8,15.8,72,110,0.655,64,150,0.427,15,52,0.288,0.3,3.1,54.5,Sr,2-Jun,14,1.07144,97.5803,3.0,2010,45,all,,1.65000382,49.0,93.0,15.0,57.0,0.5269,0.2632,0.0,0.0,,,100.002,101.696,2.03284,129.419,-0.187978,0.0652904,-0.253269,-0.167219,23.7097,-1.04192,0.874702,0.3548,1.9032,2.2581,2.129,1.2258,0.0645,7.9032,Scoring PG,4.17105
4609,Charles Jenkins,Hofstra,CAA,33,91.5,109.4,28.1,49.8,55.28,3.2,10.1,24.9,17.7,167,208,0.803,170,375,0.453,62,153,0.405,1.5,2.8,39.4,Jr,3-Jun,22,4.69062,121.454,2.9,2010,57,all,,1.2476272,86.0,133.0,78.0,227.0,0.6466,0.3436,2.0,2.0,1.0,44.0,98.4249,97.5968,3.66979,216.649,4.67981,4.3521,0.32771,7.51246,37.0,5.93298,1.57948,1.1515,3.4545,4.6061,3.9697,1.8182,0.5455,21.0,Scoring PG,7.23054
4610,Pierre Curtis,James Madison,CAA,33,84.9,107.6,16.3,46.3,56.76,2.8,9.0,23.0,23.6,116,142,0.817,57,126,0.452,20,62,0.323,0.6,2.5,75.5,Sr,3-Jun,51,2.0109,101.564,2.5,2010,60,all,24.8,1.89042079,38.0,61.0,19.0,64.0,0.623,0.2969,0.0,0.0,,,104.443,104.855,2.55195,187.76,0.0261618,0.780339,-0.754177,-0.431151,33.9697,-0.55711,0.12596,0.7879,2.8485,3.6364,4.1818,1.4545,0.2121,8.7879,Scoring PG,3.25886
4618,Eric Hayes,Maryland,ACC,32,75.8,124.9,16.4,62.1,64.83,1.5,6.6,21.6,18.4,47,54,0.87,65,117,0.556,61,135,0.452,0.6,1.7,21.4,Sr,4-Jun,5,4.21992,124.598,2.3,2010,87,all,83.4,2.42307692,29.0,45.0,36.0,72.0,0.6444,0.5,0.0,0.0,,,102.052,97.5246,3.05022,151.836,6.08687,6.02289,0.0639814,6.42413,30.6875,5.08591,1.33822,0.4062,2.0312,2.4375,3.9375,0.9375,0.1875,11.25,Scoring PG,7.80958
4639,Jay Threatt,Delaware St.,MEAC,26,86.9,103.8,18.2,42.6,47.96,3.4,9.9,29.0,18.9,54,74,0.73,49,108,0.454,21,81,0.259,0.7,5.2,39.2,So,11-May,4,1.62466,97.981,1.9,2010,161,all,,2.52176139,19.0,30.0,30.0,78.0,0.6333,0.3846,0.0,0.0,,,96.1377,101.339,3.03389,170.286,2.26555,1.25551,1.01004,1.94501,35.0769,-0.249379,2.19439,0.9615,2.2692,3.2308,4.4615,2.6538,0.1923,8.2692,Scoring PG,6.05467
4644,Calvin Baker,Virginia,ACC,25,32.5,86.5,16.6,35.9,38.15,2.3,6.6,22.5,18.8,10,16,0.625,21,58,0.362,8,34,0.235,0.0,1.6,17.4,Sr,2-Jun,4,0.103335,86.3476,2.4,2010,184,all,18.8,2.34999996,8.0,15.0,13.0,43.0,0.5333,0.3023,0.0,0.0,,,103.925,99.9648,1.48816,55.94,-2.59719,-1.76088,-0.836307,-3.02238,16.24,-2.76166,-0.26072,0.32,0.88,1.2,1.88,0.4,0.0,3.04,Scoring PG,5.28181
4657,Jerome Randle,California,P10,35,87.1,113.1,26.6,55.7,61.33,1.4,5.5,23.8,22.2,139,149,0.933,118,232,0.509,92,228,0.404,0.0,1.3,32.4,Sr,10-May,3,5.51565,130.119,1.7,2010,212,all,72.6,1.21950309,59.0,90.0,55.0,134.0,0.6556,0.4104,0.0,0.0,,,105.613,100.659,3.12527,169.731,4.72607,6.06294,-1.33687,6.05718,34.9714,6.92173,-0.864554,0.4,1.6857,2.0857,4.2857,0.7429,0.0,18.6,Scoring PG,10.9307
4660,Ryann Abraham,Appalachian St.,SC,34,46.7,107.4,18.4,51.1,56.04,1.2,8.6,24.0,24.4,51,71,0.718,34,71,0.479,23,63,0.365,0.9,3.3,53.0,Sr,10-May,1,1.28573,104.334,4.0,2010,230,all,1.2,1.70831553,22.0,39.0,12.0,32.0,0.5641,0.375,0.0,0.0,,,101.541,101.886,1.59633,119.764,1.41946,1.63149,-0.212031,1.59135,18.8235,0.292487,1.29887,0.1765,1.5,1.6765,2.4118,1.0294,0.1471,5.5294,Scoring PG,5.8858
4667,D.J. Gay,San Diego St.,MWC,32,86.3,110.3,17.3,47.5,51.93,1.8,5.6,17.3,17.6,78,108,0.722,43,125,0.344,59,152,0.388,0.3,1.9,39.0,Jr,Jun-00,23,2.9479,109.106,1.8,2010,262,all,35.0,1.87270198,13.0,25.0,30.0,100.0,0.52,0.3,0.0,0.0,,,103.015,100.016,3.1741,150.293,2.32302,2.92771,-0.604689,2.47641,34.9375,2.0867,0.389713,0.5,1.6875,2.1875,3.2188,1.0312,0.0938,10.6562,Scoring PG,8.39256
4691,A.J. Slaughter,Western Kentucky,SB,34,89.9,112.4,25.6,50.6,56.45,1.6,8.9,24.9,17.6,148,179,0.827,105,222,0.473,79,220,0.359,0.3,2.6,40.5,Sr,3-Jun,4,4.34658,119.356,2.0,2010,337,all,,1.59780488,49.0,87.0,56.0,135.0,0.5632,0.4148,1.0,1.0,1.0,,100.964,101.582,3.10833,210.072,3.81805,4.39623,-0.578173,4.93694,36.4706,4.52084,0.416102,0.4706,2.7059,3.1765,4.3235,1.5882,0.1176,17.5,Scoring PG,10.7333
4698,Josh White,North Texas,SB,31,88.9,103.0,22.0,47.5,56.14,1.9,3.8,19.9,23.3,149,181,0.823,70,168,0.417,50,137,0.365,0.2,0.9,59.3,Jr,10-May,10,2.29765,103.128,1.5,2010,354,all,16.0,1.06999815,42.0,94.0,28.0,74.0,0.4468,0.3784,0.0,0.0,,,106.327,108.543,2.2161,152.761,-1.71732,0.720449,-2.43776,-1.03091,36.129,1.145,-2.17591,0.5484,1.2581,1.8065,3.4516,0.5806,0.0645,14.1613,Scoring PG,7.03838
4713,Malcolm Delaney,Virginia Tech,ACC,33,85.4,110.2,29.2,45.2,54.43,2.8,8.5,27.2,16.6,230,273,0.842,124,277,0.448,63,206,0.306,0.3,2.0,56.5,Jr,2-Jun,23,5.10609,126.174,3.2,2010,423,all,85.8,1.4848334,66.0,136.0,58.0,141.0,0.4853,0.4113,6.0,6.0,1.0,,96.821,93.4769,4.04715,197.296,5.99253,5.82991,0.162612,7.03605,35.8485,5.51805,1.518,0.9091,2.7879,3.697,4.4545,1.2424,0.0909,20.2121,Scoring PG,10.1179
4715,Justin Dehm,Furman,SC,28,71.0,107.6,15.7,47.8,52.06,0.7,6.5,18.8,15.2,42,50,0.84,33,72,0.458,42,129,0.326,0.1,2.2,24.9,Jr,1-Jun,1,1.43431,99.0546,2.2,2010,429,all,19.8,2.12116078,16.0,25.0,17.0,47.0,0.64,0.3617,0.0,0.0,,,104.18,106.59,1.96318,124.378,-0.382883,1.29891,-1.6818,0.00986852,28.5357,0.183516,-0.173648,0.1786,1.6786,1.8571,2.5,1.0714,0.0357,8.3571,Scoring PG,9.3346
4720,Josh Slater,Lipscomb,ASun,29,77.4,113.3,28.9,51.5,56.76,6.6,13.7,33.0,18.1,157,225,0.698,111,224,0.496,42,114,0.368,1.1,3.6,66.6,Jr,3-Jun,0,4.26036,124.143,2.8,2010,439,all,,1.77649271,61.0,118.0,50.0,106.0,0.5169,0.4717,4.0,5.0,0.8,,102.253,105.684,2.23784,190.824,6.50501,6.48339,0.0216233,6.41418,31.2414,6.05613,0.358055,1.8276,3.7241,5.5517,5.2069,1.9655,0.3448,17.4138,Scoring PG,7.01448
