,player_name,team,conf,GP,Min_per,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,yr,ht,num,porpag,adjoe,pfr,year,pid,type,Rec Rank,ast/tov,rimmade,rimmade+rimmiss,midmade,midmade+midmiss,rimmade/(rimmade+rimmiss),midmade/(midmade+midmiss),dunksmade,dunksmiss+dunksmade,dunksmade/(dunksmade+dunksmiss),pick,drtg,adrtg,dporpag,stops,bpm,obpm,dbpm,gbpm,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,position,Unnamed: 65
4599,Valdas Sirutis,Boston University,AE,32,36.9,92.5,9.7,40.8,43.49,6.4,10.1,6.6,21.4,16,31,0.516,14,31,0.452,7,29,0.241,0.4,0.8,51.7,Sr,7-Jun,15,-0.371638,77.8625,7.5,2010,38,all,,1.0,9.0,18.0,4.0,13.0,0.5,0.3077,0.0,0.0,,,101.426,104.128,1.252,81.2862,-1.64751,-1.65177,0.00426609,-4.31917,16.25,-4.78715,0.467978,0.9688,1.5,2.4688,0.5938,0.2188,0.0625,2.0312,Stretch 4,3.15388
4605,T.J. Topercer,Navy,Pat,28,27.4,73.6,14.9,39.7,42.47,4.8,13.9,5.8,30.3,9,13,0.692,15,24,0.625,8,44,0.182,0.0,1.7,19.1,Sr,7-Jun,21,-0.777527,65.4957,6.8,2010,49,all,14.2,0.37032046,15.0,18.0,0.0,6.0,0.8333,0.0,0.0,0.0,,,103.781,107.786,0.765657,61.4719,-7.07418,-5.32843,-1.74575,-8.49215,11.8929,-7.26593,-1.22621,0.5357,1.4286,1.9643,0.3571,0.3571,0.0,2.25,Stretch 4,7.32534
4612,Matt Parker,James Madison,CAA,27,21.7,87.9,16.2,45.2,45.32,2.9,9.8,6.9,19.0,1,2,0.5,8,19,0.421,20,65,0.308,2.6,0.8,2.4,Sr,8-Jun,31,-0.0495674,83.1609,6.0,2010,62,all,29.0,0.6666667,6.0,8.0,2.0,10.0,0.75,0.2,1.0,1.0,1.0,,106.295,106.645,0.732528,43.9181,-5.16125,-2.68713,-2.47413,-5.51259,10.6296,-3.865,-1.64759,0.2593,0.963,1.2222,0.3704,0.1481,0.2963,2.8519,Stretch 4,13.367
4636,Noah States,Furman,SC,27,25.1,87.6,17.3,42.5,45.64,4.5,14.8,12.1,22.4,15,25,0.6,18,47,0.383,7,20,0.35,5.5,0.8,37.3,Jr,8-Jun,4,-0.0604368,82.8295,4.1,2010,154,all,,0.8421202,10.0,16.0,8.0,31.0,0.625,0.2581,3.0,4.0,0.75,,100.362,102.629,0.861306,52.623,-2.7688,-3.91703,1.14824,-1.55993,10.4444,-1.79356,0.233623,0.4074,1.4074,1.8148,0.5926,0.1481,0.5926,2.6667,Stretch 4,4.09374
4641,Vlad Moldoveanu,American,Pat,22,56.4,109.4,28.1,53.8,59.04,6.2,17.6,17.5,16.4,99,124,0.798,78,155,0.503,48,124,0.387,1.2,1.3,44.4,Jr,9-Jun,14,3.47067,116.243,4.0,2010,163,all,53.4,0.84907226,48.0,70.0,30.0,85.0,0.6857,0.3529,0.0,0.0,,,101.266,103.858,2.47651,127.067,2.93121,3.91827,-0.987067,4.17987,32.4091,4.75017,-0.570301,1.5909,4.9091,6.5,2.0455,0.6818,0.3636,18.1364,Stretch 4,10.8054
4659,Corey Godzinski,Wofford,SC,31,28.4,102.9,15.9,41.7,46.28,3.0,15.0,8.5,8.9,20,23,0.87,26,49,0.531,13,60,0.217,0.8,1.3,21.1,Sr,9-Jun,33,0.495445,95.9584,3.3,2010,220,all,15.2,1.77781594,18.0,29.0,7.0,19.0,0.6207,0.3684,1.0,1.0,1.0,,95.8197,95.747,1.33048,66.2362,0.498199,-0.267069,0.765268,-0.53408,12.5161,-1.05571,0.521634,0.3226,1.5806,1.9032,0.5161,0.2581,0.0968,3.5806,Stretch 4,9.42868
4673,Keaton Belcher,Belmont,ASun,31,59.5,112.4,17.8,54.2,56.26,6.9,13.1,9.1,15.4,32,42,0.762,56,86,0.651,48,150,0.32,0.9,1.8,17.8,Sr,9-Jun,3,1.84979,106.896,3.2,2010,280,all,,0.88891763,42.0,58.0,14.0,28.0,0.7241,0.5,10.0,10.0,1.0,,97.8451,99.7366,2.21142,136.97,3.54533,2.95277,0.592558,3.24468,24.0,2.84099,0.403695,1.4194,2.9677,4.3871,1.0323,0.7419,0.2258,9.2903,Stretch 4,11.395
4676,Jason Averkamp,Milwaukee,Horz,32,45.3,113.9,16.5,54.7,60.35,8.5,15.0,8.0,18.4,57,76,0.75,48,79,0.608,11,39,0.282,2.0,0.8,64.4,Sr,6-Jun,52,1.53917,108.958,4.2,2010,307,all,,0.73333333,36.0,44.0,12.0,35.0,0.8182,0.3429,0.0,0.0,,,103.225,101.801,1.55495,97.3383,1.8548,1.63765,0.217144,1.09291,18.2812,0.999819,0.0930946,1.3438,2.3438,3.6875,0.6875,0.25,0.3438,5.8125,Stretch 4,3.95392
4692,Louis Birdsong,George Mason,CAA,30,29.9,96.4,12.7,46.7,48.35,3.6,14.0,9.2,19.4,8,12,0.667,22,51,0.431,9,25,0.36,5.0,1.7,15.8,Sr,6-Jun,33,0.0896892,86.5303,4.8,2010,338,all,14.8,1.1250704,11.0,16.0,11.0,35.0,0.6875,0.3143,3.0,4.0,0.75,,99.6216,98.9438,1.22035,72.5639,1.10475,-1.53512,2.63987,0.231844,12.8667,-1.94621,2.17806,0.4,1.6,2.0,0.6,0.3667,0.6333,2.6333,Stretch 4,3.85384
4707,Austin Kilpatrick,Idaho St.,BSky,27,62.7,101.7,17.9,46.9,49.81,3.9,13.1,15.9,20.9,25,31,0.806,15,46,0.326,46,133,0.346,3.8,1.4,17.3,Sr,6-Jun,23,1.16728,97.9143,4.5,2010,395,all,,1.36588743,7.0,10.0,8.0,36.0,0.7,0.2222,0.0,0.0,,,117.138,115.583,0.950719,105.44,-0.801737,1.35965,-2.16138,-1.85379,25.6667,0.720612,-2.5744,0.7778,2.6296,3.4074,2.0741,0.5556,0.8148,7.1481,Stretch 4,12.121
