,player_name,team,conf,GP,Min_per,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,yr,ht,num,porpag,adjoe,pfr,year,pid,type,Rec Rank,ast/tov,rimmade,rimmade+rimmiss,midmade,midmade+midmiss,rimmade/(rimmade+rimmiss),midmade/(midmade+midmiss),dunksmade,dunksmiss+dunksmade,dunksmade/(dunksmade+dunksmiss),pick,drtg,adrtg,dporpag,stops,bpm,obpm,dbpm,gbpm,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,position,Unnamed: 65
4591,Dana Smith,Longwood,ind,27,81.8,99.8,27.7,49.9,53.76,6.9,17.6,15.6,18.6,123,187,0.658,126,261,0.483,33,91,0.363,1.4,1.4,53.1,Sr,5-Jun,22,2.70177,108.313,4.3,2010,13,all,,0.77380988,82.0,134.0,44.0,127.0,0.6119,0.3465,3.0,4.0,0.75,,106.301,110.631,1.80142,168.428,-0.441037,1.10734,-1.54838,-0.11805,32.7037,1.94935,-2.0674,2.1481,4.9259,7.0741,2.4074,0.8148,0.4815,17.5556,Wing F,5.58125
4617,Landon Milbourne,Maryland,ACC,32,73.6,109.2,20.1,51.5,54.44,7.2,10.4,4.8,13.6,67,92,0.728,151,294,0.514,13,37,0.351,3.8,2.2,27.8,Sr,7-Jun,1,3.12523,115.101,3.4,2010,86,all,79.0,0.54344347,78.0,124.0,73.0,170.0,0.629,0.4294,12.0,14.0,0.8571,,97.3049,92.9881,3.42352,183.535,5.13778,2.74801,2.38977,3.86213,29.7812,2.26214,1.59999,1.9062,3.0938,5.0,0.7812,1.1562,1.1875,12.75,Wing F,2.20438
4624,Carlton Fay,Southern Illinois,MVC,29,67.7,115.2,19.7,57.5,60.98,3.8,11.8,7.3,14.2,56,66,0.848,83,144,0.576,42,110,0.382,0.4,0.8,26.0,Jr,8-Jun,45,3.02175,116.666,4.2,2010,114,all,37.4,0.70271965,19.0,27.0,64.0,117.0,0.7037,0.547,0.0,0.0,,,105.211,103.145,2.19485,114.74,1.55383,2.95736,-1.40354,1.81662,27.3103,2.76435,-0.94773,0.8621,2.5517,3.4138,0.8966,0.3448,0.1034,12.0,Wing F,8.30988
4626,Adhar Mayen,Hawaii,WAC,28,59.1,101.6,15.5,50.0,51.66,3.9,9.6,12.1,20.6,20,29,0.69,51,97,0.526,24,77,0.312,0.6,1.2,16.7,Sr,8-Jun,24,0.806055,93.9861,4.0,2010,118,all,,1.08112601,8.0,13.0,41.0,80.0,0.6154,0.5125,1.0,1.0,1.0,,111.663,108.186,1.55736,101.626,-1.84753,-0.563285,-1.28424,-1.419,24.5,-0.847326,-0.571672,0.8214,1.9643,2.7857,1.4286,0.5,0.1429,6.9286,Wing F,6.6346
4628,Matt Howard,Butler,Horz,38,62.9,111.7,24.8,48.7,58.4,9.3,16.6,7.5,15.8,178,227,0.784,126,257,0.49,3,11,0.273,2.8,1.4,84.7,Jr,8-Jun,54,3.29669,122.274,5.5,2010,124,all,75.8,0.50003167,94.0,158.0,31.0,90.0,0.5949,0.3444,17.0,19.0,0.8947,,92.3885,88.0638,3.35531,176.01,3.75486,1.03321,2.72165,3.30044,25.2368,1.2006,2.09984,1.7895,3.3684,5.1579,0.7895,0.5789,0.6053,11.5526,Wing F,0.715113
4642,Tyren Johnson,Louisiana Lafayette,SB,28,91.3,103.5,28.7,53.3,55.64,6.5,20.0,21.8,20.2,88,131,0.672,168,315,0.533,29,82,0.354,4.4,3.2,33.0,Sr,8-Jun,1,3.43063,111.591,3.1,2010,164,all,8.2,0.96970897,91.0,119.0,76.0,195.0,0.7647,0.3897,28.0,30.0,0.9333,,95.2671,96.6672,3.77907,228.508,5.10224,1.83237,3.26987,5.47737,36.5,3.8093,1.66807,1.9643,6.0714,8.0357,3.4286,1.9286,1.4643,18.25,Wing F,4.80594
4647,Howard Crawford,UAB,CUSA,34,64.9,101.4,24.9,48.7,53.7,8.9,11.1,6.0,18.9,105,146,0.719,133,272,0.489,10,32,0.313,1.5,0.8,48.0,Sr,8-Jun,35,2.33187,110.395,4.9,2010,188,all,,0.3043264,76.0,115.0,57.0,157.0,0.6609,0.3631,27.0,31.0,0.871,,96.2036,94.2348,2.90649,138.819,0.108041,-0.389122,0.497162,0.623857,26.1471,0.193044,0.430813,2.0,2.4412,4.4412,0.6176,0.3529,0.3529,11.7941,Wing F,2.19032
4649,Kyle Singler,Duke,ACC,40,89.9,117.4,24.0,49.2,54.49,7.0,14.6,13.4,13.8,166,208,0.798,143,337,0.424,85,213,0.399,2.2,1.7,37.8,Jr,8-Jun,12,5.88413,131.673,2.4,2010,197,all,99.0,1.21518991,67.0,101.0,76.0,236.0,0.6634,0.322,4.0,5.0,0.8,33.0,91.8459,86.7343,4.96123,269.529,9.43424,6.00785,3.42639,9.9442,35.95,7.24822,2.69598,2.25,4.75,7.0,2.4,1.025,0.8,17.675,Wing F,8.90271
4654,Tim Abromaitis,Notre Dame,BE,35,77.8,128.9,21.0,60.4,65.03,4.8,13.0,9.8,11.2,117,134,0.873,102,181,0.564,81,189,0.429,1.1,1.0,36.2,Jr,8-Jun,21,5.45543,135.018,2.8,2010,209,all,34.8,1.23808329,76.0,118.0,26.0,60.0,0.6441,0.4333,25.0,26.0,0.9615,,108.291,102.983,2.54036,163.348,6.64497,7.24923,-0.604258,7.42789,31.4571,7.82082,-0.392933,1.2286,3.5143,4.7429,1.4857,0.4857,0.3143,16.1143,Wing F,10.6364
4663,Matt Mullery,Brown,Ivy,28,75.2,104.7,27.3,55.4,59.34,5.1,16.8,23.4,20.0,107,149,0.718,148,255,0.58,8,34,0.235,4.4,1.4,51.6,Sr,8-Jun,45,3.11846,113.355,2.9,2010,235,all,20.2,1.0,136.0,222.0,12.0,33.0,0.6126,0.3636,1.0,1.0,1.0,,105.049,108.046,1.99528,172.237,2.03402,1.54662,0.487398,2.73515,31.4286,2.82584,-0.0906924,1.2857,4.8214,6.1071,2.8571,0.75,1.5,15.25,Wing F,2.3153
4706,Steffphon Pettigrew,Western Kentucky,SB,34,81.1,110.5,23.0,53.6,55.07,8.7,12.6,8.0,13.6,77,125,0.616,159,287,0.554,37,113,0.327,1.4,1.5,31.3,Jr,5-Jun,30,3.28676,113.708,3.0,2010,393,all,47.8,0.68966528,111.0,163.0,48.0,124.0,0.681,0.3871,6.0,6.0,1.0,,101.228,101.847,2.77518,187.336,2.18587,2.62854,-0.442675,2.21932,32.9118,2.91978,-0.700462,2.3824,3.4706,5.8529,1.1765,0.8235,0.4412,14.8824,Wing F,6.11119
4709,Nedeljko Golubovic,Fresno St.,WAC,31,37.7,77.9,15.1,32.5,37.79,3.9,10.7,6.1,17.9,27,45,0.6,20,57,0.351,9,46,0.196,1.4,1.5,43.7,Jr,8-Jun,15,-0.668523,72.1395,4.4,2010,399,all,,0.68183742,12.0,22.0,8.0,35.0,0.5455,0.2286,0.0,0.0,,,104.057,102.307,1.30826,75.0598,-5.88514,-4.81283,-1.0723,-6.3262,15.5806,-5.82018,-0.506015,0.5161,1.4194,1.9355,0.4839,0.3871,0.1935,3.0323,Wing F,5.6505
4751,Jeff Allen,Virginia Tech,ACC,34,64.6,99.3,25.5,48.5,51.87,9.1,22.0,10.2,19.4,87,131,0.664,146,293,0.498,10,39,0.256,4.8,3.8,39.5,Jr,7-Jun,0,2.17419,108.745,5.4,2010,539,all,,0.52632753,115.0,193.0,31.0,100.0,0.5959,0.31,24.0,25.0,0.96,,83.8285,80.7927,4.10009,241.617,6.33452,0.670624,5.6639,5.19062,26.3235,0.947758,4.24286,2.1471,5.2941,7.4412,1.1765,1.7353,1.2353,12.0294,Wing F,2.53228
4757,Asim McQueen,Tulane,CUSA,30,68.3,94.2,17.7,44.9,50.08,7.3,12.9,5.8,19.9,56,75,0.747,85,190,0.447,2,6,0.333,2.0,1.9,38.3,Sr,7-Jun,4,0.73947,92.3052,4.2,2010,552,all,,0.4166875,58.0,92.0,27.0,98.0,0.6304,0.2755,7.0,7.0,1.0,,101.583,99.8156,2.5301,138.347,-1.08988,-2.46982,1.37994,-1.86198,27.4333,-2.34166,0.479679,1.7667,2.8,4.5667,0.6667,0.8667,0.5,7.7333,Wing F,0.439399
4774,Lamar Roberson,Louisiana Lafayette,SB,23,37.8,98.2,18.0,44.7,48.4,6.3,12.5,14.6,18.9,21,29,0.724,42,85,0.494,3,19,0.158,4.2,3.1,27.9,Sr,8-Jun,4,0.527706,92.7737,4.6,2010,607,all,72.2,1.33330142,25.0,35.0,17.0,50.0,0.7143,0.34,2.0,2.0,1.0,,98.6413,100.697,1.64699,83.549,0.66357,-1.39882,2.06239,0.293046,18.3913,-1.2074,1.50045,0.9565,1.913,2.8696,1.3913,0.9565,0.6957,4.9565,Wing F,2.68966
4783,Delroy James,Rhode Island,A10,36,67.2,104.5,25.8,47.8,51.95,8.7,13.7,11.4,16.8,98,133,0.737,119,250,0.476,46,143,0.322,4.4,3.1,33.8,Jr,8-Jun,21,2.88865,115.487,3.6,2010,634,all,76.0,0.78079689,92.0,142.0,25.0,98.0,0.6479,0.2551,22.0,24.0,0.9167,,98.3837,95.3501,2.90471,199.133,6.06875,3.49152,2.57722,5.74813,27.0556,4.20789,1.54024,2.1944,3.1111,5.3056,1.5833,1.4444,1.25,13.1667,Wing F,8.48499
4784,Lamonte Ulmer,Rhode Island,A10,36,76.1,118.7,18.7,54.1,57.58,10.1,17.7,7.5,12.3,91,126,0.722,158,284,0.556,9,33,0.273,2.9,2.2,39.7,Sr,6-Jun,15,3.75111,120.032,1.9,2010,635,all,57.8,1.0,110.0,166.0,40.0,106.0,0.6627,0.3774,30.0,34.0,0.8824,,99.6967,96.6227,3.15506,213.829,6.11031,4.02008,2.09023,5.35713,30.6389,4.59035,0.766779,2.8889,4.5556,7.4444,1.2222,1.1389,0.9444,12.0556,Wing F,1.72907
4788,Dior Lowhorn,San Francisco,WCC,27,69.0,106.1,30.7,49.2,55.14,8.6,18.8,4.8,14.2,122,148,0.824,151,299,0.505,22,75,0.293,1.6,1.4,39.6,Sr,7-Jun,33,3.56909,120.472,3.1,2010,645,all,87.8,0.22415159,61.0,89.0,84.0,199.0,0.6854,0.4221,13.0,13.0,1.0,,105.648,102.519,2.38017,144.816,-1.02337,1.06498,-2.08835,2.47123,29.2593,3.995,-1.52377,2.0741,4.5556,6.6296,0.4815,0.6667,0.4444,18.1481,Wing F,5.63209
